question_id,fold,expected_image,expected_stage,predicted_stage,stage_score,stage_margin,legacy_g3_rank,optimized_g3_rank,optimized_g4_rank
Q25,3,page_275_img_0_0.jpeg,프로그래밍/모션 명령,프로그래밍/모션 명령,0.4831154942512512,0.02454361319541931,5,5,5
Q26,2,page_167_img_2_0.jpeg,시스템 관리/소프트웨어 업데이트,시스템 관리/소프트웨어 업데이트,0.5503630042076111,0.12494173645973206,1,,8
Q27,5,page_370_img_0_0.jpeg,시스템 관리/공장 초기화,시스템 관리/공장 초기화,0.6347479820251465,0.21726492047309875,1,1,1
Q28,5,page_405_img_0_0.jpeg,설치/케이블 방수,설치/케이블 방수,0.606975793838501,0.057215213775634766,,,7
Q29,2,page_202_img_0_0.jpeg,TCP/툴 좌표 설정,좌표계/오른손 법칙,0.5598257780075073,0.016973137855529785,,,
Q30,2,page_403_img_0_0.jpeg,안전/전원/극성,안전/전원/극성,0.595109224319458,0.07193034887313843,1,1,1
Q31,2,page_103_img_0_0.jpeg,티치 펜던트/USB 데이터 관리,티치 펜던트/USB 데이터 관리,0.6251312494277954,0.09466969966888428,,,3
Q32,1,page_192_img_0_0.jpeg,프로그램 실행/Home Position,프로그램 실행/Home Position,0.5462995171546936,0.022380590438842773,,,
Q33,1,page_352_img_3_0.jpeg,사용자 관리/권한,사용자 관리/권한,0.568730890750885,0.12898510694503784,2,2,2
Q34,3,page_184_img_0_0.jpeg,안전 복구/패키징,안전 복구/Recovery,0.5430652499198914,0.0417599081993103,4,3,3
Q35,1,page_144_img_1_0.jpeg,제어기 I/O 배선,제어기 I/O 배선,0.538133978843689,0.012982964515686035,3,2,2
Q36,2,page_237_img_0_0.jpeg,안전 설정/공간 제한 구역,안전 설정/공간 제한 구역,0.5537281036376953,0.05285090208053589,5,2,2
Q37,2,page_310_img_1_0.jpeg,힘 제어/Custom Code,힘 제어/Custom Code,0.6182296276092529,0.14087390899658203,1,3,1
Q38,1,page_155_img_1_0.jpeg,통신/PROFINET,통신/PROFINET,0.615289568901062,0.13448795676231384,1,2,2
Q39,1,page_83_img_0_0.jpeg,설치/제품 개봉,설치/제품 개봉,0.5152913928031921,0.10043609142303467,1,1,1
Q40,3,page_84_img_0_0.jpeg,설치/케이블 연결,설치/케이블 연결,0.5939980745315552,0.07291001081466675,9,8,4
Q41,4,page_86_img_0_0.jpeg,안전/전원/접지,안전/전원/접지,0.6225529909133911,0.012078642845153809,4,4,4
Q42,2,page_88_img_0_0.jpeg,설치/컨트롤러 배치,설치/컨트롤러 배치,0.5627085566520691,0.09034764766693115,2,4,1
Q43,1,page_89_img_0_0.jpeg,티치 펜던트/비상정지,설치/기구 고정,0.534866213798523,0.012151122093200684,2,2,2
Q44,4,page_94_img_0_0.jpeg,티치 펜던트/전원 종료,티치 펜던트/전원 종료,0.5837867259979248,0.03671741485595703,1,1,1
Q45,3,page_98_img_1_0.jpeg,설치/로봇 운반,설치/로봇 운반,0.5967336893081665,0.0027583837509155273,3,3,3
Q46,3,page_119_img_1_0.jpeg,설치/케이블 노이즈 대책,설치/케이블 노이즈 대책,0.5645983219146729,0.04815798997879028,4,4,2
Q47,2,page_120_img_0_0.jpeg,설치/매니퓰레이터 연결,설치/매니퓰레이터 연결,0.6229638457298279,0.038062870502471924,,9,4
Q48,1,page_123_img_0_0.jpeg,툴 장착/플랜지 고정,툴 장착/플랜지 고정,0.6192843914031982,0.08875799179077148,2,1,1
Q49,5,page_125_img_0_0.jpeg,전원/컨트롤러 조작,전원/컨트롤러 조작,0.5199216604232788,0.014382541179656982,3,1,1
Q50,4,page_130_img_0_0.jpeg,툴 플랜지/디지털 출력,툴 플랜지/디지털 출력,0.6199941039085388,0.08231741189956665,1,1,1
Q51,1,page_132_img_0_0.png,툴 플랜지/아날로그 입력,툴 플랜지/아날로그 입력,0.6722011566162109,0.15095126628875732,2,2,1
Q52,5,page_133_img_0_0.jpeg,제어기 I/O/외부 장치 연결,제어기 I/O/외부 장치 연결,0.6183151602745056,0.009253144264221191,1,1,1
Q53,1,page_137_img_0_0.jpeg,제어기 I/O/엔코더 입력,제어기 I/O/엔코더 입력,0.7344196438789368,0.2123323678970337,1,1,1
Q54,5,page_139_img_0_0.jpeg,제어기 I/O/디지털 입출력,제어기 I/O/디지털 입출력,0.7133967876434326,0.09642583131790161,1,1,1
Q55,5,page_141_img_1_0.jpeg,제어기 I/O/디지털 출력 배선,제어기 I/O/디지털 출력 배선,0.6301405429840088,0.17292273044586182,1,1,1
Q56,4,page_142_img_0_0.jpeg,제어기 I/O/Sink 배선,제어기 I/O/Sink 배선,0.6180790066719055,0.11936408281326294,1,2,2
Q57,2,page_147_img_0_0.jpeg,안전 I/O/테스트 펄스,안전 I/O/테스트 펄스,0.7126668691635132,0.14843273162841797,1,1,1
Q58,1,page_148_img_0_0.jpeg,네트워크/포트 연결,네트워크/포트 연결,0.5808970332145691,0.09943169355392456,1,1,1
Q59,4,page_177_img_1_0.jpeg,좌표계/오른손 법칙,좌표계/오른손 법칙,0.6466256976127625,0.21882405877113342,8,6,4
Q60,2,page_181_img_0_0.jpeg,안전 복구/Recovery,안전 복구/Recovery,0.6302918195724487,0.06085485219955444,1,1,1
Q61,4,page_186_img_0_0.jpeg,DART-Platform/Robot Settings,직접교시/Cockpit 설정,0.5221427083015442,0.02545064687728882,4,3,3
Q62,2,page_196_img_0_0.jpeg,직접교시/Cockpit 설정,직접교시/Cockpit 설정,0.6334418058395386,0.13209831714630127,1,1,1
Q63,3,page_205_img_1_0.jpeg,툴 설정/Tool Weight,툴 설정/Tool Weight,0.6333308815956116,0.09333503246307373,1,1,1
Q64,3,page_209_img_0_0.jpeg,툴 설정/Tool Shape,툴 설정/Tool Shape,0.5826183557510376,0.08190405368804932,1,1,1
Q65,5,page_226_img_0_0.jpeg,안전 설정/구역 설정,안전 설정/구역 설정,0.6088451147079468,0.05090034008026123,,,3
Q66,3,page_230_img_0_0.jpeg,안전 설정/공간 제한 구역,안전 설정/공간 제한 구역,0.5405951738357544,0.027052998542785645,5,5,5
Q67,5,page_243_img_0_0.jpeg,안전 설정/충돌 민감도 감소 구역,안전 설정/충돌 민감도 감소 구역,0.6807087063789368,0.16510826349258423,1,1,1
Q68,2,page_248_img_0_0.jpeg,안전 설정/Safety Review,안전 설정/Safety Review,0.6320154070854187,0.14842402935028076,,,4
Q69,4,page_251_img_2_0.jpeg,원격 제어/필수 설정,원격 제어/필수 설정,0.6930297017097473,0.17885732650756836,2,3,3
Q70,5,page_336_img_0_0.jpeg,상태 확인/I/O Overview,상태 확인/I/O Overview,0.6458494663238525,0.13851183652877808,2,2,2
