질문 번호,구분,질문,정답 실습 단계,예측 실습 단계,G4 적용 단계,분류 점수,분류 margin,G4 적용,정답 텍스트,G3 텍스트 정답 순위,G4 텍스트 정답 순위,G4 텍스트 평가,G4 텍스트 평가 근거,정답 이미지,G3 이미지 정답 순위,G4 이미지 정답 순위,G4 이미지 평가,G4 검색 이미지 Top-10
Q11,기존,로봇을 천장(Ceiling)에 거꾸로 설치할 때 소프트웨어 설정 메뉴에서 입력해야 하는 마운팅 각도는 어떻게 설정합니까?,설치/마운팅 설정,설치/마운팅 설정,설치/마운팅 설정,0.6719,0.0894,O,Y축 회전과 Z축 회전으로 각도 설정,1,1,O,"keyword:회전과,회전,회전으로,각도; semantic_rank:13",page_188_img_0_0.jpeg,1,1,O,"1. page_188_img_0_0.jpeg | score=1.578 | stage=0.925 | page=1.00; keyword=mount,robot settings; section=robot settings,mount
2. page_189_img_0_0.jpeg | score=1.505 | stage=0.938 | page=1.00; keyword=mount,robot settings,y; section=robot settings,mount
3. page_187_img_0_0.jpeg | score=1.261 | stage=0.925 | page=1.00; keyword=mount,robot settings; section=robot settings,mount
4. page_187_img_1_0.jpeg | score=1.248 | stage=0.925 | page=1.00; keyword=mount,robot settings; section=robot settings,mount
5. page_181_img_0_0.jpeg | score=0.813 | stage=0.013 | keyword=y
6. page_289_img_0_0.jpeg | score=0.808 | stage=0.013 | keyword=y
7. page_378_img_2_0.jpeg | score=0.806 | stage=0.025 | keyword=y,z
8. page_182_img_0_0.jpeg | score=0.780 | stage=0.013 | keyword=y
9. page_184_img_0_0.jpeg | score=0.745 | stage=0.225 | page=0.45
10. page_195_img_0_0.jpeg | score=0.734 | stage=0.725 | page=1.00; keyword=robot settings,z; section=robot settings"
Q12,기존,전원이 꺼진 상태나 비상시 조작기 각 관절의 브레이크(Brake)를 수동으로 해제하는 방법은 무엇입니까?,비상/Backdrive,비상/Backdrive,비상/Backdrive,0.5422,0.0563,O,Backdrive 모듈 사용,1,1,O,"keyword:backdrive,모듈; semantic_rank:2",page_178_img_0_0.jpeg,2,2,O,"1. page_179_img_1_0.jpeg | score=1.408 | stage=0.646 | page=1.00; keyword=backdrive; section=backdrive
2. page_178_img_0_0.jpeg | score=1.394 | stage=0.671 | page=1.00; keyword=backdrive,joint,recovery; section=backdrive
3. page_177_img_1_0.jpeg | score=1.044 | stage=0.512 | page=1.00; keyword=servo off
4. page_125_img_0_0.jpeg | score=0.789 | stage=0.000
5. page_89_img_1_0.jpeg | score=0.778 | stage=0.000
6. page_89_img_0_0.jpeg | score=0.752 | stage=0.000
7. page_195_img_0_0.jpeg | score=0.658 | stage=0.000
8. page_220_img_0_0.jpeg | score=0.654 | stage=0.000
9. page_195_img_2_0.jpeg | score=0.632 | stage=0.000
10. page_403_img_0_0.jpeg | score=0.599 | stage=0.000"
Q13,기존,티치 펜던트의 전원을 강제로 종료하는 물리적 버튼 조작법은 무엇입니까?,티치 펜던트/전원 조작,티치 펜던트/전원 조작,티치 펜던트/전원 조작,0.6817,0.0620,O,전원 버튼을 4초 이상 길게 누름,1,1,O,"keyword:전원,버튼을,버튼,길게; semantic_rank:4",page_24_img_0_0.jpeg,5,9,△,"1. page_94_img_0_0.jpeg | score=1.371 | stage=0.500 | page=1.00
2. page_95_img_0_0.jpeg | score=1.329 | stage=0.500 | page=1.00
3. page_96_img_0_0.jpeg | score=1.217 | stage=0.500 | page=1.00
4. page_103_img_0_0.jpeg | score=1.150 | stage=0.500 | page=1.00
5. page_104_img_0_0.jpeg | score=1.099 | stage=0.500 | page=1.00
6. page_93_img_0_0.jpeg | score=1.057 | stage=0.500 | page=1.00
7. page_163_img_0_0.jpeg | score=0.879 | stage=0.000
8. page_163_img_1_0.jpeg | score=0.861 | stage=0.000
9. page_24_img_0_0.jpeg | score=0.823 | stage=0.000
10. page_220_img_0_0.jpeg | score=0.776 | stage=0.000"
Q14,기존,로봇이 특이점(Singularity) 영역에 도달했을 때 제어를 보호하기 위해 발생하는 현상은 무엇입니까?,안전/특이점/동작 제한,안전/특이점/동작 제한,안전/특이점/동작 제한,0.5224,0.0705,O,조인트 속력/각도 제한 위반으로 에러 발생 후 정지,1,1,O,"keyword:조인트,각도,제한,위반,에러,발생",page_173_img_1_0.jpeg,1,1,O,"1. page_173_img_1_0.jpeg | score=1.501 | stage=0.712 | page=1.00; keyword=singularity; section=singularity
2. page_174_img_1_0.jpeg | score=1.370 | stage=0.512 | page=1.00; keyword=wrist
3. page_175_img_1_0.jpeg | score=1.240 | stage=0.500 | page=1.00
4. page_175_img_4_0.jpeg | score=1.057 | stage=0.500 | page=1.00
5. page_175_img_3_0.jpeg | score=1.048 | stage=0.500 | page=1.00
6. page_175_img_2_0.jpeg | score=1.042 | stage=0.500 | page=1.00
7. page_277_img_0_0.jpeg | score=0.797 | stage=0.000
8. page_242_img_0_0.jpeg | score=0.718 | stage=0.000
9. page_278_img_1_0.jpeg | score=0.608 | stage=0.000
10. page_276_img_0_0.jpeg | score=0.608 | stage=0.000"
Q15,기존,시스템의 과거 에러 로그를 추출하는 메뉴 경로는 어디입니까?,시스템 관리/로그,UI/시스템 정보 확인,,0.4739,0.0053,X,Logs 모듈,1,1,O,semantic_rank:4,page_340_img_0_0.jpeg,3,3,O,"1. page_363_img_0_0.jpeg | score=0.808 | stage=0.000
2. page_182_img_0_0.jpeg | score=0.765 | stage=0.000
3. page_340_img_0_0.jpeg | score=0.734 | stage=0.000
4. page_368_img_0_0.jpeg | score=0.726 | stage=0.000
5. page_364_img_1_0.jpeg | score=0.724 | stage=0.000
6. page_169_img_2_0.jpeg | score=0.702 | stage=0.000
7. page_342_img_2_0.jpeg | score=0.690 | stage=0.000
8. page_349_img_0_0.jpeg | score=0.688 | stage=0.000
9. page_369_img_0_0.jpeg | score=0.641 | stage=0.000
10. page_361_img_0_0.jpeg | score=0.639 | stage=0.000"
Q16,기존,티치 펜던트 케이블을 배선할 때 케이블이 손상되지 않도록 유지해야 하는 최소 곡률반경은 얼마입니까?,설치/케이블 배선,설치/케이블 배선,설치/케이블 배선,0.6015,0.1581,O,120mm,1,1,O,semantic_rank:7,page_116_img_0_0.jpeg,1,1,O,"1. page_116_img_0_0.jpeg | score=1.371 | stage=0.500 | page=1.00
2. page_119_img_0_0.jpeg | score=1.277 | stage=0.500 | page=1.00
3. page_120_img_0_0.jpeg | score=1.192 | stage=0.500 | page=1.00
4. page_119_img_1_0.jpeg | score=1.094 | stage=0.500 | page=1.00
5. page_115_img_0_0.jpeg | score=1.040 | stage=0.500 | page=1.00
6. page_118_img_0_0.jpeg | score=0.992 | stage=0.500 | page=1.00
7. page_402_img_0_0.jpeg | score=0.861 | stage=0.000
8. page_121_img_0_0.jpeg | score=0.849 | stage=0.350 | page=0.70
9. page_401_img_0_0.jpeg | score=0.779 | stage=0.000
10. page_401_img_1_0.jpeg | score=0.775 | stage=0.000"
Q17,기존,플랜지의 RS-485 통신 포트를 사용할 때 X1 커넥터의 핀 번호는 무엇입니까?,툴 플랜지/통신 배선,툴 플랜지/통신 배선,툴 플랜지/통신 배선,0.7315,0.0850,O,4번(RS-485+) 및 6번(RS-485-),1,1,O,"keyword:rs,485",page_128_img_0_0.jpeg,1,1,O,"1. page_128_img_0_0.jpeg | score=1.424 | stage=0.612 | page=1.00; keyword=x1; section=o
2. page_127_img_0_0.jpeg | score=1.311 | stage=0.600 | page=1.00; section=o
3. page_132_img_0_0.png | score=1.195 | stage=0.600 | page=1.00; section=o
4. page_130_img_0_0.jpeg | score=1.154 | stage=0.600 | page=1.00; section=o
5. page_201_img_1_0.jpeg | score=0.777 | stage=0.100 | section=o
6. page_336_img_0_0.jpeg | score=0.762 | stage=0.100 | section=o
7. page_124_img_0_0.jpeg | score=0.754 | stage=0.350 | page=0.70
8. page_94_img_0_0.jpeg | score=0.697 | stage=0.100 | section=o
9. page_95_img_0_0.jpeg | score=0.680 | stage=0.200 | section=flange i,o
10. page_199_img_0_0.jpeg | score=0.637 | stage=0.113 | keyword=x1; section=o"
Q18,기존,작업자의 손가락 끼임 사고를 방지하기 위해 설정할 수 있는 안전 구역의 명칭은 무엇입니까?,안전 설정/협착 방지 구역,안전 설정/협착 방지 구역,안전 설정/협착 방지 구역,0.5925,0.0969,O,협착 방지 구역 (Crushing Prevention Zone),1,1,O,"keyword:협착,방지,구역,crushing,prevention,zone; semantic_rank:1",page_242_img_0_0.jpeg,1,1,O,"1. page_242_img_0_0.jpeg | score=1.475 | stage=0.700 | page=1.00; section=safety settings
2. page_241_img_0_0.jpeg | score=1.350 | stage=0.700 | page=1.00; section=safety settings
3. page_243_img_0_0.jpeg | score=1.276 | stage=0.700 | page=1.00; section=safety settings
4. page_243_img_1_0.jpeg | score=1.181 | stage=0.700 | page=1.00; section=safety settings
5. page_244_img_0_0.jpeg | score=1.149 | stage=0.700 | page=1.00; section=safety settings
6. page_240_img_0_0.jpeg | score=1.103 | stage=0.700 | page=1.00; section=safety settings
7. page_245_img_0_0.jpeg | score=1.097 | stage=0.700 | page=1.00; section=safety settings
8. page_224_img_0_0.jpeg | score=0.806 | stage=0.213 | keyword=safety zone; section=safety settings
9. page_238_img_0_0.jpeg | score=0.716 | stage=0.700 | page=1.00; section=safety settings
10. page_225_img_0_0.jpeg | score=0.712 | stage=0.200 | section=safety settings"
Q19,기존,목표 위치를 향해 끝 단이 선형으로 이동하는 수동 이동(Jog) 방식은 무엇입니까?,수동 조작/Jog,수동 조작/Jog,수동 조작/Jog,0.5756,0.1312,O,태스크 모션 (Task Motion),1,1,O,"keyword:태스크,모션; semantic_rank:12",page_373_img_0_0.jpeg,7,5,O,"1. page_375_img_0_0.jpeg | score=1.364 | stage=0.646 | page=1.00; keyword=jog; section=jog
2. page_374_img_1_0.jpeg | score=1.286 | stage=0.500 | page=1.00
3. page_374_img_0_0.jpeg | score=1.284 | stage=0.500 | page=1.00
4. page_376_img_0_0.jpeg | score=1.199 | stage=0.646 | page=1.00; keyword=jog; section=jog
5. page_373_img_0_0.jpeg | score=1.165 | stage=0.500 | page=1.00
6. page_379_img_2_0.jpeg | score=1.014 | stage=0.500 | page=1.00
7. page_379_img_1_0.jpeg | score=0.975 | stage=0.500 | page=1.00
8. page_378_img_2_0.jpeg | score=0.898 | stage=0.500 | page=1.00
9. page_379_img_0_0.jpeg | score=0.895 | stage=0.500 | page=1.00
10. page_381_img_0_0.jpeg | score=0.886 | stage=0.500 | page=1.00"
Q20,기존,TCP(Tool Center Point) 설정 화면에서 Z축 방향의 오프셋(Offset)만 적용하려면 어떤 항목에 값을 입력해야 합니까?,TCP/툴 좌표 설정,TCP/툴 좌표 설정,TCP/툴 좌표 설정,0.6568,0.1814,O,Z 값에 거리 입력,2,1,O,semantic_rank:5,page_201_img_1_0.jpeg,3,2,O,"1. page_202_img_1_0.jpeg | score=1.548 | stage=0.875 | page=1.00; keyword=tool settings,tcp,tool center point,x; section=tool settings,tool center point,tcp
2. page_201_img_1_0.jpeg | score=1.524 | stage=0.875 | page=1.00; keyword=tool settings,tcp,tool center point,x; section=tool settings,tool center point,tcp
3. page_203_img_0_0.jpeg | score=1.400 | stage=0.762 | page=1.00; keyword=tool settings,tcp,x,y; section=tool settings,tcp
4. page_202_img_0_0.jpeg | score=1.331 | stage=0.875 | page=1.00; keyword=tool settings,tcp,tool center point,x; section=tool settings,tool center point,tcp
5. page_201_img_0_0.jpeg | score=1.309 | stage=0.875 | page=1.00; keyword=tool settings,tcp,tool center point,x; section=tool settings,tool center point,tcp
6. page_208_img_0_0.jpeg | score=1.154 | stage=0.637 | page=1.00; keyword=tool settings,y,simulation; section=tool settings
7. page_204_img_0_0.jpeg | score=1.082 | stage=0.762 | page=1.00; keyword=tool settings,tcp,x,y; section=tool settings,tcp
8. page_204_img_1_0.jpeg | score=1.011 | stage=0.762 | page=1.00; keyword=tool settings,tcp,x,y; section=tool settings,tcp
9. page_244_img_0_0.jpeg | score=0.945 | stage=0.138 | keyword=tcp,y,z; section=tcp
10. page_206_img_0_0.jpeg | score=0.913 | stage=0.625 | page=1.00; keyword=tool settings,y; section=tool settings"
Q21,기존,안전 영역(Zone) 설정 시 선택할 수 있는 3D 도형 모양 5가지는 무엇입니까?,안전 설정/Zone 형상,안전 설정/Zone 형상,,0.5676,0.0271,X,"구, 원기둥, 직육면체, 기울어진 다면상자",4,4,O,"keyword:원기둥,직육면체,기울어진,다면상자; semantic_rank:5",page_241_img_0_0.jpeg,3,3,O,"1. page_225_img_0_0.jpeg | score=0.888 | stage=0.000
2. page_224_img_0_0.jpeg | score=0.869 | stage=0.000
3. page_241_img_0_0.jpeg | score=0.835 | stage=0.000
4. page_240_img_0_0.jpeg | score=0.814 | stage=0.000
5. page_242_img_0_0.jpeg | score=0.797 | stage=0.000
6. page_226_img_0_0.jpeg | score=0.797 | stage=0.000
7. page_239_img_0_0.jpeg | score=0.707 | stage=0.000
8. page_220_img_0_0.jpeg | score=0.664 | stage=0.000
9. page_237_img_0_0.jpeg | score=0.621 | stage=0.000
10. page_226_img_2_0.jpeg | score=0.603 | stage=0.000"
Q22,기존,다양한 프로그램 명령어를 조립하여 로봇 동작을 구성하는 두산로보틱스의 프로그래밍 모듈 명칭은 무엇입니까?,프로그래밍/Task Editor,프로그래밍/모션 명령,프로그래밍/모션 명령,0.5087,0.0587,O,Task Editor (태스크 에디터),8,9,△,"keyword:task,editor,태스크; semantic_rank:5",page_262_img_0_0.jpeg,,,X,"1. page_271_img_1_0.jpeg | score=1.072 | stage=0.512 | page=1.00; keyword=radius
2. page_271_img_0_0.jpeg | score=1.056 | stage=0.512 | page=1.00; keyword=radius
3. page_277_img_0_0.jpeg | score=1.013 | stage=0.500 | page=1.00
4. page_316_img_0_0.jpeg | score=0.833 | stage=0.000
5. page_278_img_1_0.jpeg | score=0.821 | stage=0.500 | page=1.00
6. page_276_img_0_0.jpeg | score=0.814 | stage=0.500 | page=1.00
7. page_312_img_0_0.jpeg | score=0.743 | stage=0.013 | keyword=tcp
8. page_313_img_0_0.jpeg | score=0.692 | stage=0.000
9. page_104_img_0_0.jpeg | score=0.588 | stage=0.000
10. page_398_img_0_0.jpeg | score=0.528 | stage=0.000"
Q23,기존,로봇 시스템의 시간 기능을 확인하는 곳은 화면의 어디입니까?,UI/시스템 정보 확인,UI/시스템 정보 확인,UI/시스템 정보 확인,0.5290,0.0381,O,Header의 현재 시간 정보,1,1,O,"keyword:header,시간; semantic_rank:1",page_167_img_3_0.jpeg,,7,△,"1. page_165_img_0_0.jpeg | score=1.435 | stage=0.646 | page=1.00; keyword=header; section=header
2. page_166_img_1_0.jpeg | score=1.338 | stage=0.646 | page=1.00; keyword=header; section=header
3. page_168_img_0_0.jpeg | score=1.316 | stage=0.500 | page=1.00
4. page_168_img_1_0.png | score=1.111 | stage=0.500 | page=1.00
5. page_164_img_1_0.jpeg | score=1.078 | stage=0.500 | page=1.00
6. page_169_img_2_0.jpeg | score=1.034 | stage=0.500 | page=1.00
7. page_167_img_3_0.jpeg | score=1.030 | stage=0.500 | page=1.00
8. page_169_img_1_0.png | score=1.003 | stage=0.500 | page=1.00
9. page_167_img_2_0.jpeg | score=0.872 | stage=0.500 | page=1.00
10. page_357_img_0_0.jpeg | score=0.813 | stage=0.000"
