질문 번호,질문,정답 이미지,BBox 기반 매핑 정답 순위,BBox 기반 매핑 Top-10,BBox 필터 + SigLIP 정답 순위,BBox 필터 + SigLIP Top-10
Q16,티치 펜던트 케이블을 배선할 때 케이블이 손상되지 않도록 유지해야 하는 최소 곡률반경은 얼마입니까?,page_116_img_0_0.jpeg,1,"page_116_img_0_0.jpeg
page_119_img_1_0.jpeg
page_88_img_1_0.jpeg
page_121_img_0_0.jpeg
page_83_img_0_0.jpeg
page_96_img_0_0.jpeg
page_110_img_0_0.jpeg
page_95_img_0_0.jpeg
page_123_img_0_0.jpeg
page_120_img_0_0.jpeg",1,"page_116_img_0_0.jpeg
page_119_img_1_0.jpeg
page_88_img_0_0.jpeg
page_88_img_1_0.jpeg
page_121_img_0_0.jpeg
page_83_img_0_0.jpeg
page_96_img_0_0.jpeg
page_84_img_0_0.jpeg
page_110_img_0_0.jpeg
page_95_img_0_0.jpeg"
Q17,플랜지의 RS-485 통신 포트를 사용할 때 X1 커넥터의 핀 번호는 무엇입니까?,page_128_img_0_0.jpeg,1,"page_128_img_0_0.jpeg
page_130_img_0_0.jpeg
page_127_img_0_0.jpeg
page_201_img_1_0.jpeg
page_123_img_0_0.jpeg
page_141_img_1_0.jpeg
page_132_img_0_0.png
page_94_img_0_0.jpeg
page_133_img_0_0.jpeg
page_201_img_0_0.jpeg",1,"page_128_img_0_0.jpeg
page_130_img_0_0.jpeg
page_127_img_0_0.jpeg
page_132_img_0_0.png
page_201_img_1_0.jpeg
page_123_img_0_0.jpeg
page_95_img_0_0.jpeg
page_141_img_1_0.jpeg
page_94_img_0_0.jpeg
page_142_img_1_0.jpeg"
Q18,작업자의 손가락 끼임 사고를 방지하기 위해 설정할 수 있는 안전 구역의 명칭은 무엇입니까?,page_242_img_0_0.jpeg,1,"page_242_img_0_0.jpeg
page_24_img_0_0.jpeg
page_243_img_0_0.jpeg
page_241_img_0_0.jpeg
page_48_img_0_0.jpeg
page_243_img_1_0.jpeg
page_49_img_0_0.jpeg
page_224_img_0_0.jpeg
page_240_img_0_0.jpeg
page_245_img_0_0.jpeg",1,"page_242_img_0_0.jpeg
page_24_img_0_0.jpeg
page_243_img_0_0.jpeg
page_241_img_0_0.jpeg
page_243_img_1_0.jpeg
page_48_img_0_0.jpeg
page_49_img_0_0.jpeg
page_224_img_0_0.jpeg
page_225_img_0_0.jpeg
page_245_img_0_0.jpeg"
Q19,목표 위치를 향해 끝 단이 선형으로 이동하는 수동 이동(Jog) 방식은 무엇입니까?,page_373_img_0_0.jpeg,,"page_375_img_0_0.jpeg
page_276_img_0_0.jpeg
page_374_img_1_0.jpeg
page_374_img_0_0.jpeg
page_384_img_0_0.jpeg
page_275_img_0_0.jpeg
page_281_img_1_0.jpeg
page_376_img_0_0.jpeg
page_277_img_0_0.jpeg
page_379_img_1_0.jpeg",,"page_374_img_1_0.jpeg
page_374_img_0_0.jpeg
page_275_img_0_0.jpeg
page_375_img_0_0.jpeg
page_276_img_0_0.jpeg
page_376_img_0_0.jpeg
page_384_img_0_0.jpeg
page_281_img_1_0.jpeg
page_277_img_0_0.jpeg
page_379_img_2_0.jpeg"
Q20,TCP(Tool Center Point) 설정 화면에서 Z축 방향의 오프셋(Offset)만 적용하려면 어떤 항목에 값을 입력해야 합니까?,page_201_img_1_0.jpeg,3,"page_244_img_0_0.jpeg
page_202_img_1_0.jpeg
page_201_img_1_0.jpeg
page_208_img_0_0.jpeg
page_387_img_0_0.jpeg
page_204_img_1_0.jpeg
page_330_img_0_0.jpeg
page_209_img_0_0.jpeg
page_203_img_0_0.jpeg
page_202_img_0_0.jpeg",5,"page_244_img_0_0.jpeg
page_203_img_0_0.jpeg
page_202_img_1_0.jpeg
page_209_img_0_0.jpeg
page_201_img_1_0.jpeg
page_208_img_0_0.jpeg
page_204_img_1_0.jpeg
page_387_img_0_0.jpeg
page_245_img_0_0.jpeg
page_210_img_2_0.jpeg"
Q21,안전 영역(Zone) 설정 시 선택할 수 있는 3D 도형 모양 5가지는 무엇입니까?,page_241_img_0_0.jpeg,,"page_224_img_0_0.jpeg
page_240_img_0_0.jpeg
page_242_img_0_0.jpeg
page_236_img_0_0.jpeg
page_226_img_2_0.jpeg
page_232_img_0_0.jpeg
page_227_img_0_0.jpeg
page_231_img_0_0.jpeg
page_225_img_0_0.jpeg
page_238_img_1_0.jpeg",4,"page_224_img_0_0.jpeg
page_225_img_0_0.jpeg
page_240_img_0_0.jpeg
page_241_img_0_0.jpeg
page_243_img_0_0.jpeg
page_242_img_0_0.jpeg
page_236_img_0_0.jpeg
page_227_img_0_0.jpeg
page_226_img_2_0.jpeg
page_235_img_1_0.jpeg"
Q22,다양한 프로그램 명령어를 조립하여 로봇 동작을 구성하는 두산로보틱스의 프로그래밍 모듈 명칭은 무엇입니까?,page_262_img_0_0.jpeg,,"page_316_img_0_0.jpeg
page_312_img_0_0.jpeg
page_275_img_0_0.jpeg
page_277_img_0_0.jpeg
page_278_img_1_0.jpeg
page_271_img_1_0.jpeg
page_276_img_0_0.jpeg
page_174_img_1_0.jpeg
page_104_img_0_0.jpeg
page_154_img_1_0.jpeg",,"page_316_img_0_0.jpeg
page_278_img_1_0.jpeg
page_312_img_0_0.jpeg
page_275_img_0_0.jpeg
page_277_img_0_0.jpeg
page_313_img_0_0.jpeg
page_271_img_1_0.jpeg
page_174_img_1_0.jpeg
page_276_img_0_0.jpeg
page_104_img_0_0.jpeg"
Q23,로봇 시스템의 시간 기능을 확인하는 곳은 화면의 어디입니까?,page_167_img_3_0.jpeg,,"page_357_img_0_0.jpeg
page_258_img_0_0.jpeg
page_83_img_0_0.jpeg
page_84_img_0_0.jpeg
page_95_img_0_0.jpeg
page_89_img_1_0.jpeg
page_308_img_1_0.jpeg
page_375_img_0_0.jpeg
page_376_img_0_0.jpeg
page_89_img_0_0.jpeg",,"page_357_img_0_0.jpeg
page_259_img_1_0.jpeg
page_258_img_0_0.jpeg
page_83_img_0_0.jpeg
page_84_img_0_0.jpeg
page_89_img_1_0.jpeg
page_95_img_0_0.jpeg
page_309_img_1_0.jpeg
page_308_img_1_0.jpeg
page_376_img_0_0.jpeg"
Q24,로봇의 이동 경로를 티칭할 때 직선으로 이동하도록 강제하는 모션 명령어는 무엇입니까?,page_275_img_0_0.jpeg,,"page_276_img_0_0.jpeg
page_277_img_0_0.jpeg
page_299_img_0_0.jpeg
page_280_img_0_0.jpeg
page_281_img_1_0.jpeg
page_308_img_1_0.jpeg
page_279_img_0_0.jpeg
page_278_img_1_0.jpeg
page_195_img_2_0.jpeg
page_307_img_1_0.jpeg",5,"page_276_img_0_0.jpeg
page_277_img_0_0.jpeg
page_195_img_2_0.jpeg
page_299_img_0_0.jpeg
page_275_img_0_0.jpeg
page_374_img_1_0.jpeg
page_374_img_0_0.jpeg
page_195_img_0_0.jpeg
page_278_img_1_0.jpeg
page_281_img_1_0.jpeg"
Q25,조인트 각도를 기준으로 목표 위치까지 가장 빠른 경로로 이동하는 모션 명령어는 무엇입니까?,page_275_img_0_0.jpeg,,"page_378_img_2_0.jpeg
page_384_img_0_0.jpeg
page_379_img_2_0.jpeg
page_379_img_1_0.jpeg
page_375_img_0_0.jpeg
page_267_img_1_0.jpeg
page_379_img_0_0.jpeg
page_378_img_0_0.jpeg
page_376_img_0_0.jpeg
page_374_img_1_0.jpeg",6,"page_378_img_2_0.jpeg
page_379_img_2_0.jpeg
page_374_img_1_0.jpeg
page_374_img_0_0.jpeg
page_384_img_0_0.jpeg
page_275_img_0_0.jpeg
page_375_img_0_0.jpeg
page_379_img_1_0.jpeg
page_379_img_0_0.jpeg
page_267_img_1_0.jpeg"
Q26,소프트웨어 업데이트 모듈을 설치할 때 사용하는 패키지 파일의 확장자는 무엇입니까?,page_167_img_2_0.jpeg,1,"page_167_img_2_0.jpeg
page_366_img_0_0.jpeg
page_373_img_0_0.jpeg
page_343_img_0_0.jpeg
page_361_img_1_0.jpeg
page_360_img_0_0.jpeg
page_363_img_0_0.jpeg
page_364_img_1_0.jpeg
page_361_img_0_0.jpeg
page_361_img_2_0.png",4,"page_373_img_0_0.jpeg
page_361_img_0_0.jpeg
page_361_img_1_0.jpeg
page_167_img_2_0.jpeg
page_366_img_0_0.jpeg
page_168_img_0_0.jpeg
page_367_img_0_0.jpeg
page_167_img_3_0.jpeg
page_360_img_0_0.jpeg
page_363_img_0_0.jpeg"
Q27,공장 출하 상태로 시스템을 복원하는 '공장 초기화(Factory Reset)' 진행 시 삭제되는 데이터는 무엇입니까?,page_370_img_0_0.jpeg,1,"page_370_img_0_0.jpeg
page_369_img_0_0.jpeg
page_363_img_0_0.jpeg
page_182_img_0_0.jpeg
page_181_img_0_0.jpeg
page_237_img_0_0.jpeg
page_241_img_0_0.jpeg
page_238_img_0_0.jpeg
page_239_img_0_0.jpeg
page_232_img_0_0.jpeg",1,"page_370_img_0_0.jpeg
page_228_img_0_0.jpeg
page_228_img_2_0.jpeg
page_369_img_0_0.jpeg
page_182_img_0_0.jpeg
page_363_img_0_0.jpeg
page_241_img_0_0.jpeg
page_237_img_0_0.jpeg
page_238_img_0_0.jpeg
page_181_img_0_0.jpeg"
Q28,로봇 큐브 모듈 케이블을 결합할 때 방수 등급 강화를 위해 케이블에 결합해야 하는 부품은 무엇입니까?,page_405_img_0_0.jpeg,,"page_123_img_0_0.jpeg
page_397_img_0_0.jpeg
page_120_img_0_0.jpeg
page_127_img_0_0.jpeg
page_405_img_3_0.jpeg
page_405_img_5_0.jpeg
page_84_img_0_0.jpeg
page_86_img_0_0.jpeg
page_124_img_0_0.jpeg
page_83_img_0_0.jpeg",,"page_123_img_0_0.jpeg
page_398_img_0_0.jpeg
page_397_img_0_0.jpeg
page_120_img_0_0.jpeg
page_127_img_0_0.jpeg
page_405_img_3_0.jpeg
page_405_img_5_0.jpeg
page_84_img_0_0.jpeg
page_403_img_0_0.jpeg
page_121_img_0_0.jpeg"
Q29,엔드 이펙터 툴의 중심 좌표계(Tool Coordinate)의 기준이 되는 z축의 방향은 플랜지 좌표계에서 어느 방향을 따라 회전합니까?,page_202_img_0_0.jpeg,,"page_201_img_1_0.jpeg
page_202_img_1_0.jpeg
page_110_img_0_0.jpeg
page_176_img_3_0.jpeg
page_379_img_1_0.jpeg
page_379_img_2_0.jpeg
page_244_img_0_0.jpeg
page_208_img_0_0.jpeg
page_205_img_1_0.jpeg
page_201_img_0_0.jpeg",,"page_201_img_1_0.jpeg
page_202_img_1_0.jpeg
page_203_img_0_0.jpeg
page_110_img_0_0.jpeg
page_176_img_3_0.jpeg
page_176_img_0_0.png
page_204_img_1_0.jpeg
page_378_img_2_0.jpeg
page_204_img_0_0.jpeg
page_381_img_0_0.jpeg"
Q30,전원 입력 시 극성이 잘못 결선되었을 때 컨트롤러 고장을 막기 위해 주의해야 할 항목은 무엇입니까?,page_403_img_0_0.jpeg,,"page_121_img_0_0.jpeg
page_86_img_0_0.jpeg
page_120_img_0_0.jpeg
page_125_img_0_0.jpeg
page_139_img_0_0.jpeg
page_137_img_0_0.jpeg
page_138_img_1_0.jpeg
page_138_img_0_0.jpeg
page_123_img_0_0.jpeg
page_88_img_1_0.jpeg",,"page_121_img_0_0.jpeg
page_86_img_0_0.jpeg
page_138_img_0_0.jpeg
page_138_img_1_0.jpeg
page_120_img_0_0.jpeg
page_125_img_0_0.jpeg
page_137_img_0_0.jpeg
page_163_img_0_0.jpeg
page_139_img_0_0.jpeg
page_136_img_0_0.png"
Q31,티치 펜던트에 위치한 USB 포트의 주된 용도는 무엇입니까?,page_103_img_0_0.jpeg,8,"page_119_img_1_0.jpeg
page_95_img_0_0.jpeg
page_163_img_1_0.jpeg
page_163_img_0_0.jpeg
page_96_img_0_0.jpeg
page_104_img_0_0.jpeg
page_397_img_0_0.jpeg
page_103_img_0_0.jpeg
page_94_img_0_0.jpeg
page_83_img_0_0.jpeg",8,"page_102_img_0_0.jpeg
page_119_img_1_0.jpeg
page_95_img_0_0.jpeg
page_96_img_0_0.jpeg
page_163_img_0_0.jpeg
page_163_img_1_0.jpeg
page_104_img_0_0.jpeg
page_103_img_0_0.jpeg
page_120_img_0_0.jpeg
page_398_img_0_0.jpeg"
Q32,로봇이 프로그램 시작점으로 기본 복귀할 수 있도록 설정하는 위치의 명칭은 무엇입니까?,page_192_img_0_0.jpeg,6,"page_181_img_0_0.jpeg
page_84_img_0_0.jpeg
page_83_img_0_0.jpeg
page_323_img_0_0.jpeg
page_323_img_1_0.jpeg
page_192_img_0_0.jpeg
page_324_img_0_0.jpeg
page_184_img_0_0.jpeg
page_89_img_1_0.jpeg
page_89_img_0_0.jpeg",8,"page_181_img_0_0.jpeg
page_84_img_0_0.jpeg
page_323_img_0_0.jpeg
page_92_img_1_0.jpeg
page_83_img_0_0.jpeg
page_325_img_0_0.jpeg
page_323_img_1_0.jpeg
page_192_img_0_0.jpeg
page_324_img_0_0.jpeg
page_184_img_0_0.jpeg"
Q33,사용자 계정 관리에서 관리자(Supervisor) 권한으로 접근할 때 입력해야 하는 초기 비밀번호는 무엇입니까?,page_352_img_3_0.jpeg,2,"page_353_img_1_0.jpeg
page_352_img_3_0.jpeg
page_169_img_2_0.jpeg
page_330_img_0_0.jpeg
page_289_img_0_0.jpeg
page_353_img_0_0.png
page_352_img_1_0.png
page_294_img_0_0.jpeg
page_294_img_1_0.jpeg
page_147_img_0_0.jpeg",2,"page_353_img_1_0.jpeg
page_352_img_3_0.jpeg
page_169_img_2_0.jpeg
page_330_img_0_0.jpeg
page_354_img_0_0.jpeg
page_353_img_0_0.png
page_289_img_0_0.jpeg
page_352_img_1_0.png
page_294_img_0_0.jpeg
page_294_img_1_0.jpeg"
Q34,로봇을 운반이나 포장하기 위해 안전 복구 모드에서 사용할 수 있는 전용 기능의 이름은 무엇입니까?,page_184_img_0_0.jpeg,2,"page_181_img_0_0.jpeg
page_184_img_0_0.jpeg
page_48_img_0_0.jpeg
page_178_img_0_0.jpeg
page_24_img_0_0.jpeg
page_179_img_1_0.jpeg
page_92_img_1_0.jpeg
page_186_img_0_0.jpeg
page_182_img_0_0.jpeg
page_49_img_0_0.jpeg",2,"page_181_img_0_0.jpeg
page_184_img_0_0.jpeg
page_182_img_0_0.jpeg
page_48_img_0_0.jpeg
page_92_img_1_0.jpeg
page_178_img_0_0.jpeg
page_24_img_0_0.jpeg
page_49_img_0_0.jpeg
page_179_img_1_0.jpeg
page_186_img_0_0.jpeg"
Q35,Configurable 디지털 I/O 전원을 내부 전원과 분리하기 위해 TBPWR 단자블록에서 제거해야 하는 점퍼선 결선은 무엇입니까?,page_144_img_1_0.jpeg,2,"page_144_img_0_0.jpeg
page_144_img_1_0.jpeg
page_133_img_0_0.jpeg
page_145_img_0_0.jpeg
page_141_img_1_0.jpeg
page_139_img_0_0.jpeg
page_142_img_0_0.jpeg
page_142_img_1_0.jpeg
page_96_img_0_0.jpeg
page_397_img_0_0.jpeg",2,"page_144_img_0_0.jpeg
page_144_img_1_0.jpeg
page_133_img_0_0.jpeg
page_145_img_0_0.jpeg
page_141_img_1_0.jpeg
page_142_img_1_0.jpeg
page_139_img_0_0.jpeg
page_140_img_0_0.jpeg
page_142_img_0_0.jpeg
page_136_img_0_0.png"
Q36,공간 제한 구역을 '기울어진 직육면체(3포인트 & 높이)'로 설정할 때 3D 시뮬레이션 화면에서 지정해야 하는 3개의 점은 무엇입니까?,page_237_img_0_0.jpeg,9,"page_376_img_0_0.jpeg
page_240_img_0_0.jpeg
page_243_img_0_0.jpeg
page_242_img_0_0.jpeg
page_236_img_0_0.jpeg
page_244_img_0_0.jpeg
page_238_img_1_0.jpeg
page_232_img_0_0.jpeg
page_237_img_0_0.jpeg
page_378_img_2_0.jpeg",1,"page_237_img_0_0.jpeg
page_376_img_0_0.jpeg
page_236_img_0_0.jpeg
page_240_img_0_0.jpeg
page_243_img_0_0.jpeg
page_244_img_0_0.jpeg
page_241_img_0_0.jpeg
page_232_img_0_0.jpeg
page_242_img_0_0.jpeg
page_238_img_1_0.jpeg"
