"구분","질문 번호","질문","정답 텍스트","페이지","정답 이미지","실습 단계","질문 유형","근거"
"기존","Q13","티치 펜던트의 전원을 강제로 종료하는 물리적 버튼 조작법은 무엇입니까?","전원 버튼을 4초 이상 길게 누름","93","page_24_img_0_0.jpeg","티치 펜던트/전원 조작","조작 절차형","티치 펜던트 전원 강제 종료 방법을 묻는 물리 버튼 조작 질문"
"기존","Q14","로봇이 특이점(Singularity) 영역에 도달했을 때 제어를 보호하기 위해 발생하는 현상은 무엇입니까?","조인트 속력/각도 제한 위반으로 에러 발생 후 정지","173","page_173_img_1_0.jpeg","안전/특이점/동작 제한","안전 상태형","특이점 도달 시 제어 보호와 정지 현상을 묻는 안전 동작 질문"
"기존","Q15","시스템의 과거 에러 로그를 추출하는 메뉴 경로는 어디입니까?","Logs 모듈","338","page_340_img_0_0.jpeg","시스템 관리/로그","메뉴 경로형","과거 에러 로그 확인 및 추출 메뉴를 묻는 시스템 관리 질문"
"기존","Q16","티치 펜던트 케이블을 배선할 때 케이블이 손상되지 않도록 유지해야 하는 최소 곡률반경은 얼마입니까?","120mm","115","page_116_img_0_0.jpeg","설치/케이블 배선","설치 주의형","티치 펜던트 케이블 배선 시 손상 방지를 위한 곡률반경 질문"
"기존","Q17","플랜지의 RS-485 통신 포트를 사용할 때 X1 커넥터의 핀 번호는 무엇입니까?","4번(RS-485+) 및 6번(RS-485-)","127","page_128_img_0_0.jpeg","툴 플랜지/통신 배선","배선 확인형","플랜지 RS-485 통신 핀 번호를 묻는 통신 배선 질문"
"기존","Q18","작업자의 손가락 끼임 사고를 방지하기 위해 설정할 수 있는 안전 구역의 명칭은 무엇입니까?","협착 방지 구역 (Crushing Prevention Zone)","241","page_242_img_0_0.jpeg","안전 설정/협착 방지 구역","안전 설정형","작업자 협착 사고 방지를 위한 안전 구역 명칭을 묻는 질문"
"기존","Q19","목표 위치를 향해 끝 단이 선형으로 이동하는 수동 이동(Jog) 방식은 무엇입니까?","태스크 모션 (Task Motion)","372","page_373_img_0_0.jpeg","수동 조작/Jog","개념 확인형","수동 이동 방식 중 끝단 선형 이동 방식을 묻는 조작 개념 질문"
"기존","Q20","TCP(Tool Center Point) 설정 화면에서 Z축 방향의 오프셋(Offset)만 적용하려면 어떤 항목에 값을 입력해야 합니까?","Z 값에 거리 입력","200","page_201_img_1_0.jpeg","TCP/툴 좌표 설정","설정 절차형","TCP 설정에서 Z축 오프셋 입력 항목을 묻는 좌표 설정 질문"
"기존","Q21","안전 영역(Zone) 설정 시 선택할 수 있는 3D 도형 모양 5가지는 무엇입니까?","구, 원기둥, 직육면체, 기울어진 다면상자","236","page_241_img_0_0.jpeg","안전 설정/Zone 형상","개념 확인형","안전 영역 설정에서 선택 가능한 3D 형상을 묻는 안전 설정 질문"
"기존","Q22","다양한 프로그램 명령어를 조립하여 로봇 동작을 구성하는 두산로보틱스의 프로그래밍 모듈 명칭은 무엇입니까?","Task Editor (태스크 에디터)","261","page_262_img_0_0.jpeg","프로그래밍/Task Editor","개념 확인형","로봇 동작 프로그램을 구성하는 프로그래밍 모듈 명칭 질문"
"기존","Q23","로봇 시스템의 시간 기능을 확인하는 곳은 화면의 어디입니까?","Header의 현재 시간 정보","167","page_167_img_3_0.jpeg","UI/시스템 정보 확인","화면 위치형","화면 Header에서 시간 정보를 확인하는 UI 위치 질문"
"기존","Q24","로봇의 이동 경로를 티칭할 때 직선으로 이동하도록 강제하는 모션 명령어는 무엇입니까?","MoveL","271","page_275_img_0_0.jpeg","프로그래밍/모션 명령","명령어 확인형","직선 경로 이동을 위한 MoveL 명령어를 묻는 프로그래밍 질문"
"기존","Q25","조인트 각도를 기준으로 목표 위치까지 가장 빠른 경로로 이동하는 모션 명령어는 무엇입니까?","MoveJ","271","page_275_img_0_0.jpeg","프로그래밍/모션 명령","명령어 확인형","조인트 기준 최단 경로 이동을 위한 MoveJ 명령어를 묻는 프로그래밍 질문"
"기존","Q26","소프트웨어 업데이트 모듈을 설치할 때 사용하는 패키지 파일의 확장자는 무엇입니까?",".dm (다운로드 받은 모듈 패키지 설치 파일)","166","page_167_img_2_0.jpeg","시스템 관리/소프트웨어 업데이트","파일 형식 확인형","소프트웨어 업데이트 모듈 설치 파일 확장자를 묻는 시스템 관리 질문"
"기존","Q27","공장 출하 상태로 시스템을 복원하는 '공장 초기화(Factory Reset)' 진행 시 삭제되는 데이터는 무엇입니까?","데이터 베이스, 로그파일, 워크셀 아이템, 태스크 파일","369","page_370_img_0_0.jpeg","시스템 관리/공장 초기화","주의 사항형","공장 초기화 시 삭제되는 데이터 범위를 묻는 시스템 관리 질문"
"기존","Q28","로봇 큐브 모듈 케이블을 결합할 때 방수 등급 강화를 위해 케이블에 결합해야 하는 부품은 무엇입니까?","그로밋 (Grommet)","404","page_405_img_0_0.jpeg","설치/케이블 방수","부품 확인형","큐브 모듈 케이블 결합 시 방수 등급 강화를 위한 부품 질문"
"기존","Q29","엔드 이펙터 툴의 중심 좌표계(Tool Coordinate)의 기준이 되는 z축의 방향은 플랜지 좌표계에서 어느 방향을 따라 회전합니까?","플랜지 좌표계의 z축","200","page_202_img_0_0.jpeg","TCP/툴 좌표 설정","개념 확인형","툴 좌표계 기준 z축 방향을 묻는 좌표계 개념 질문"
"기존","Q30","전원 입력 시 극성이 잘못 결선되었을 때 컨트롤러 고장을 막기 위해 주의해야 할 항목은 무엇입니까?","입력 전압의 극성이 반대로 연결되지 않도록 주의","402","page_403_img_0_0.jpeg","안전/전원/극성","안전 주의형","전원 입력 극성 오결선으로 인한 컨트롤러 고장 방지 질문"
"기존","Q31","티치 펜던트에 위치한 USB 포트의 주된 용도는 무엇입니까?","로봇 로그 저장매체 백업 및 태스크 내보내기/가져오기","102","page_103_img_0_0.jpeg","티치 펜던트/USB 데이터 관리","기능 확인형","티치 펜던트 USB 포트의 로그 백업 및 태스크 입출력 용도 질문"
"기존","Q32","로봇이 프로그램 시작점으로 기본 복귀할 수 있도록 설정하는 위치의 명칭은 무엇입니까?","Home Position (홈 포지션)","192","page_192_img_0_0.jpeg","프로그램 실행/Home Position","개념 확인형","프로그램 시작점 복귀 위치인 Home Position 명칭 질문"
"기존","Q33","사용자 계정 관리에서 관리자(Supervisor) 권한으로 접근할 때 입력해야 하는 초기 비밀번호는 무엇입니까?","admin","351","page_352_img_3_0.jpeg","사용자 관리/권한","계정 정보형","Supervisor 권한 접근을 위한 초기 비밀번호 질문"
"기존","Q34","로봇을 운반이나 포장하기 위해 안전 복구 모드에서 사용할 수 있는 전용 기능의 이름은 무엇입니까?","패키징 모드","183","page_184_img_0_0.jpeg","안전 복구/패키징","기능 확인형","운반 및 포장을 위한 안전 복구 모드 기능 질문"
"기존","Q35","Configurable 디지털 I/O 전원을 내부 전원과 분리하기 위해 TBPWR 단자블록에서 제거해야 하는 점퍼선 결선은 무엇입니까?","VCC-VIO 및 GND-GIO","143","page_144_img_1_0.jpeg","제어기 I/O 배선","배선 확인형","Configurable 디지털 I/O 전원 분리를 위한 점퍼선 제거 질문"
"기존","Q36","공간 제한 구역을 '기울어진 직육면체(3포인트 & 높이)'로 설정할 때 3D 시뮬레이션 화면에서 지정해야 하는 3개의 점은 무엇입니까?","기준점, x축 위의 점, xy평면 위의 점","237","page_237_img_0_0.jpeg","안전 설정/공간 제한 구역","설정 절차형","공간 제한 구역 형상 설정에 필요한 3개 기준점 질문"
"기존","Q37","힘 제어 모드에서 외력 센서값 오차를 초기화하기 위해 Custom Code에 입력해야 하는 DRL 명령어는 무엇입니까?","set_external_force_reset()","309","page_310_img_1_0.jpeg","힘 제어/Custom Code","명령어 확인형","힘 제어 외력 센서값 초기화를 위한 DRL 명령어 질문"
"기존","Q38","PROFINET 통신 구조에서 로봇 상태(Robot State) 정보를 전송하도록 할당된 Slot 번호는 몇 번입니까?","Slot#1","153","page_155_img_1_0.jpeg","통신/PROFINET","통신 설정형","PROFINET 통신에서 Robot State 전송 Slot 번호를 묻는 통신 구조 질문"
"추가","Q39","제품을 처음 개봉할 때 로봇과 컨트롤러는 몇 개의 상자에 나누어 배송됩니까?","로봇 및 컨트롤러는 2개의 상자에 담겨 배송됨","83","page_83_img_0_0.jpeg","설치/제품 개봉","절차 확인형","패킹을 뜯고 제품을 확인하는 절차 그림과 연결됨"
"추가","Q40","티치펜던트와 로봇 케이블을 컨트롤러에 연결할 때 케이블이 빠지지 않도록 어떻게 연결해야 합니까?","해당 연결부에 딸깍 소리가 날 때까지 연결해야 함","83","page_84_img_0_0.jpeg","설치/케이블 연결","절차 확인형","컨트롤러 케이블 연결 절차 그림과 연결됨"
"추가","Q41","컨트롤러 전원 케이블을 연결한 후 안전을 위해 반드시 확인해야 하는 전기적 조건은 무엇입니까?","로봇이 올바르게 접지되었는지 확인해야 함","86","page_86_img_0_0.jpeg","안전/전원/접지","안전 확인형","컨트롤러 전원 연결 및 접지 그림과 연결됨"
"추가","Q42","컨트롤러를 바닥에 설치할 때 기기 내부 환기를 위해 양쪽 면에 확보해야 하는 최소 여유 공간은 얼마입니까?","양쪽 면에 약 50 mm의 여유 공간을 확보해야 함","88","page_88_img_0_0.jpeg","설치/컨트롤러 배치","설치 주의형","컨트롤러 배치와 환기 여유 공간 그림과 연결됨"
"추가","Q43","로봇 설치 후 첫 부팅 시 비상 정지 경고 팝업이 나타나면 비상 정지 버튼을 어떻게 해제해야 합니까?","비상 정지 버튼을 시계 방향으로 돌려 해제함","89","page_89_img_0_0.jpeg","티치 펜던트/비상정지","조작 절차형","비상 정지 버튼 해제 절차 그림과 연결됨"
"추가","Q44","시스템을 정상 종료할 때 전원 종료 팝업에서 눌러야 하는 버튼은 무엇입니까?","전원 종료 팝업에서 확인 버튼을 눌러 종료함","94","page_94_img_0_0.jpeg","티치 펜던트/전원 종료","조작 절차형","시스템 전원 끄기 화면 그림과 연결됨"
"추가","Q45","로봇을 설치 장소로 옮길 때 들어 올려야 하는 부분은 어디입니까?","매뉴얼 그림에서 음영으로 표시된 인양 지점을 들어 이동함","97","page_98_img_1_0.jpeg","설치/로봇 운반","안전 절차형","로봇 이동 및 설치를 위한 인양 지점 그림과 연결됨"
"추가","Q46","전자파 노이즈 영향을 줄이기 위해 매니퓰레이터 케이블 양단에 설치를 권장하는 부품은 무엇입니까?","페라이트코어를 설치하는 것을 권장함","119","page_119_img_1_0.jpeg","설치/케이블 노이즈 대책","부품 확인형","페라이트코어 설치 위치 그림과 연결됨"
"추가","Q47","매니퓰레이터 연결 케이블을 컨트롤러에 연결한 뒤 케이블이 빠지지 않도록 추가로 해야 하는 조치는 무엇입니까?","연결 후 고정용 고리를 체결해야 함","120","page_120_img_0_0.jpeg","설치/매니퓰레이터 연결","절차 확인형","매니퓰레이터와 컨트롤러 연결 절차 그림과 연결됨"
"추가","Q48","툴을 툴 플랜지에 고정할 때 사용하는 볼트 수와 권장 체결 토크는 얼마입니까?","M6 볼트 4개를 사용하며 9 Nm 토크로 조이는 것을 권장함","123","page_123_img_0_0.jpeg","툴 장착/플랜지 고정","설치 절차형","로봇과 툴 연결 그림 및 고정 절차와 연결됨"
"추가","Q49","컨트롤러에서 시스템 전원을 켤 때 누르는 물리적 스위치는 어디에 있습니까?","컨트롤러 하단의 전원 스위치를 누름","125","page_125_img_0_0.jpeg","전원/컨트롤러 조작","조작 절차형","컨트롤러 하단 전원 스위치 그림과 연결됨"
"추가","Q50","플랜지 디지털 출력이 활성화되었을 때와 비활성화되었을 때 출력 채널 상태는 각각 어떻게 됩니까?","활성화 시 +24V가 되고 비활성화 시 open 상태가 됨","130","page_130_img_0_0.jpeg","툴 플랜지/디지털 출력","사양 확인형","플랜지 디지털 출력 회로 및 사양 그림과 연결됨"
"추가","Q51","플랜지 아날로그 입력 기능에서 설정 가능한 입력 모드는 무엇입니까?","전압 모드(0~10V) 또는 전류 모드(4~20mA)로 설정 가능함","132","page_132_img_0_0.png","툴 플랜지/아날로그 입력","사양 확인형","플랜지 아날로그 입력 사양 및 구성 그림과 연결됨"
"추가","Q52","컨트롤러 I/O 단자를 통해 연결할 수 있는 대표적인 안전기기에는 무엇이 있습니까?","비상정지 스위치, 라이트 커튼, 안전 매트 등을 연결할 수 있음","133","page_133_img_0_0.jpeg","제어기 I/O/외부 장치 연결","장치 확인형","컨트롤러 I/O 구성 그림과 연결됨"
"추가","Q53","컨트롤러의 외부 엔코더 입력 단자 TBEN은 어떤 엔코더 상을 입력받을 수 있습니까?","A상, B상, Z상을 입력받을 수 있음","137","page_137_img_0_0.jpeg","제어기 I/O/엔코더 입력","배선 확인형","TBEN 외부 엔코더 입력 단자 그림과 연결됨"
"추가","Q54","컨트롤러의 Configurable 디지털 I/O는 디지털 입력과 디지털 출력을 각각 몇 개씩 제공합니까?","디지털 입력 16개와 디지털 출력 16개로 구성됨","139","page_139_img_0_0.jpeg","제어기 I/O/디지털 입출력","사양 확인형","Configurable 디지털 I/O 구성 그림과 연결됨"
"추가","Q55","단순 부하를 구동할 때 TBCO 단자블록에서 부하는 어떤 단자 사이에 연결합니까?","TBCO1~TBCO4의 Oxx 단자와 GIO 단자 사이에 부하를 연결함","141","page_141_img_1_0.jpeg","제어기 I/O/디지털 출력 배선","배선 확인형","단순 부하 연결 회로 그림과 연결됨"
"추가","Q56","Sink type 입력기기와 연결할 때 Oxx 단자와 GIO 단자는 각각 어디에 연결합니까?","Oxx는 외부기기의 입력단자에, GIO는 Negative common에 연결함","142","page_142_img_0_0.jpeg","제어기 I/O/Sink 배선","배선 확인형","Sink type 입력기기 연결 그림과 연결됨"
"추가","Q57","테스트 펄스가 포함된 안전신호를 연결할 수 있는 Safety Controller 전용 안전 입력 단자는 무엇입니까?","SI1, SI2, SI3, SI4 단자","147","page_147_img_0_0.jpeg","안전 I/O/테스트 펄스","배선 확인형","Safety Controller 전용 안전 입력단자 그림과 연결됨"
"추가","Q58","컨트롤러 네트워크 연결에서 WAN 포트와 LAN 포트의 용도는 각각 무엇입니까?","WAN은 외부 인터넷 망 연결, LAN은 TCP/IP 또는 Modbus 주변기기 연결에 사용됨","148","page_148_img_0_0.jpeg","네트워크/포트 연결","기능 확인형","WAN/LAN 네트워크 연결 단자 그림과 연결됨"
"추가","Q59","오른손 법칙에서 좌표계의 X축, Y축, Z축은 각각 어느 손가락에 대응됩니까?","엄지는 X축, 검지는 Y축, 중지는 Z축에 대응됨","176","page_177_img_1_0.jpeg","좌표계/오른손 법칙","개념 확인형","오른손 법칙 좌표계 설명 그림과 연결됨"
"추가","Q60","Recovery 모듈은 어떤 상황에서 로봇 위치와 각도를 설정하기 위해 사용합니까?","안전 위반이 지속되는 오류가 발생하거나 운반/포장을 위해 로봇을 설정할 때 사용함","181","page_181_img_0_0.jpeg","안전 복구/Recovery","기능 확인형","Recovery 모듈 화면 그림과 연결됨"
"추가","Q61","Robot Settings 화면의 더보기 버튼은 어떤 파일 작업을 수행할 수 있게 합니까?","새 파일 생성, 기존 파일 불러오기, 저장, 내보내기 등을 수행할 수 있음","186","page_186_img_0_0.jpeg","DART-Platform/Robot Settings","화면 구성형","Robot Settings 메뉴 구성 그림과 연결됨"
"추가","Q62","Cockpit 설정 화면에서 1번 버튼에 수행할 기능을 지정하는 항목은 무엇입니까?","1 버튼 설정 항목에서 기능을 선택함","196","page_196_img_0_0.jpeg","직접교시/Cockpit 설정","화면 구성형","Cockpit 설정 화면 항목 그림과 연결됨"
"추가","Q63","툴 무게를 설정하기 위해 Robot Parameters에서 선택해야 하는 메뉴 경로는 무엇입니까?","Robot Parameters > Tool Settings > Tool Weight","205","page_205_img_1_0.jpeg","툴 설정/Tool Weight","메뉴 경로형","Tool Weight 설정 화면 그림과 연결됨"
"추가","Q64","Tool Shape 팝업에서 새 툴 형상을 등록할 때 입력해야 하는 기본 항목은 무엇입니까?","Tool Shape의 이름을 입력해야 함","209","page_209_img_0_0.jpeg","툴 설정/Tool Shape","화면 구성형","Tool Shape 팝업 구성 그림과 연결됨"
"추가","Q65","구 형태의 안전 영역을 설정할 때 중심 위치는 어떤 축 값으로 입력합니까?","Center Position에서 X축, Y축, Z축 값을 입력함","226","page_226_img_0_0.jpeg","안전 설정/구역 설정","설정 절차형","구 형태 안전 영역 설정 화면 그림과 연결됨"
"추가","Q66","공간 제한 구역에서 두 점을 사용하는 형상 설정 시 입력해야 하는 주요 위치 항목은 무엇입니까?","Point 1과 Point 2 값을 입력함","230","page_230_img_0_0.jpeg","안전 설정/공간 제한 구역","설정 절차형","Point 1과 Point 2를 사용하는 공간 제한 구역 설정 그림과 연결됨"
"추가","Q67","충돌 민감도 감소 구역은 어떤 목적의 안전 구역입니까?","로봇이 다양한 재료나 표면과 작업할 때 충돌 감지 민감도를 조정하는 구역임","243","page_243_img_0_0.jpeg","안전 설정/충돌 민감도 감소 구역","개념 확인형","Collision Sensitivity Reduction Zone 설정 화면 그림과 연결됨"
"추가","Q68","Safety Setting Review 팝업은 어떤 설정 값이 변경되었을 때 저장을 위해 사용됩니까?","Robot Parameter 모듈에서 로봇 데이터 설정 값이 변경된 경우 사용됨","248","page_248_img_0_0.jpeg","안전 설정/Safety Review","상태 확인형","Safety Setting Review 팝업 그림과 연결됨"
"추가","Q69","Remote Control 모듈의 필수 설정에서는 원격 제어를 위해 어떤 항목들을 설정해야 합니까?","모듈 및 태스크를 설정하고 안전 입력 신호를 설정해야 함","250","page_251_img_2_0.jpeg","원격 제어/필수 설정","설정 절차형","Remote Control 필수 설정 화면 그림과 연결됨"
"추가","Q70","I/O Overview에서 제어기 디지털 입력이 High 신호일 때와 Low 신호일 때 아이콘 색상은 각각 어떻게 표시됩니까?","High 신호는 연두색, Low 신호는 회색으로 표시됨","336","page_336_img_0_0.jpeg","상태 확인/I/O Overview","화면 판독형","I/O Overview 디지털 입력 상태 표시 그림과 연결됨"
