검토 판정,질문 번호,실습 단계,질문,정답 이미지,정답 이미지 페이지,G3 이미지 순위,G4 수동 이미지 순위,G4 수동 이미지 평가,현재 텍스트 페이지 범위,현재 이미지 페이지 범위,정답 이미지 페이지 포함 여부,본문 키워드,근거,수정 제안
유지 후보,Q05,툴 플랜지/I/O 배선,엔드 이펙터(End-effector)를 제어하기 위한 툴 플랜지 커넥터의 전원 출력 핀 번호는 몇 번입니까?,page_128_img_0_0.jpeg,128,,5,O,127-130,126-131,포함,"flange I/O, X1, 8 pin, pin map, Power, GND, digital input, RS-485, connector",플랜지 I/O Schematic Diagram section 기준,TBSFT/TBCI/TBCO/TBPWR 등 단자블록명 기준으로 세부 단계 분리
유지 후보,Q07,직접교시/Cockpit,협동로봇의 직접 교시(Direct Teaching)를 활성화하기 위해 조작기 툴 플랜지에서 눌러야 하는 버튼은 무엇입니까?,page_195_img_0_0.jpeg,195,10,2,O,194-196,193-197,포함,"Cockpit, direct teaching, freedrive, constrained motion, tool flange, button, hand guiding",Robot Settings의 Cockpit 직접 교시 설명 section 기준,현재 매핑 유지 가능
유지 후보,Q08,제어기 I/O 배선,제어기의 디지털 입력(Digital Input) 단자에 NPN 타입 센서를 연결할 때 배선은 어떻게 해야 합니까?,page_138_img_0_0.jpeg,138,4,4,O,133-145,132-146,포함,"controller I/O, configurable digital I/O, NPN, PNP, VCC, VIO, GND, GIO, TBPWR, TBCO, TBCI",컨트롤러 I/O 구성하기 section 기준,TBSFT/TBCI/TBCO/TBPWR 등 단자블록명 기준으로 세부 단계 분리
유지 후보,Q09,안전 I/O/보호정지 배선,안전 I/O(Safety I/O) 포트를 사용하여 펜스나 라이트 커튼을 연결할 때 사용하는 입력 핀 번호는 무엇입니까?,page_145_img_0_0.jpeg,145,2,2,O,144-147,143-148,포함,"Safety I/O, TBSFT, PR, protective stop, safety input, terminal block, light curtain, fence",컨트롤러 Safety I/O 구성하기 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선 / TBSFT/TBCI/TBCO/TBPWR 등 단자블록명 기준으로 세부 단계 분리"
유지 후보,Q12,비상/Backdrive,전원이 꺼진 상태나 비상시 조작기 각 관절의 브레이크(Brake)를 수동으로 해제하는 방법은 무엇입니까?,page_178_img_0_0.jpeg,178,1,1,O,169-170; 178-181,168-181,포함,"Backdrive, brake, servo off, joint, release, hold, emergency, recovery, manual mode",DART-Platform Backdrive module section 기준,현재 매핑 유지 가능
유지 후보,Q14,안전/특이점/동작 제한,로봇이 특이점(Singularity) 영역에 도달했을 때 제어를 보호하기 위해 발생하는 현상은 무엇입니까?,page_173_img_1_0.jpeg,173,1,1,O,173-175,172-176,포함,"Singularity, wrist, shoulder, elbow, joint speed, angle limit, stop, position error",DART-Platform Singularity 설명 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
유지 후보,Q15,시스템 관리/로그,시스템의 과거 에러 로그를 추출하는 메뉴 경로는 어디입니까?,page_340_img_0_0.jpeg,340,,3,O,339-342,338-342,포함,"Logs, log, date filter, category, level, warning, information, comment, error log",DART-Platform Logs module section 기준,현재 매핑 유지 가능
유지 후보,Q16,설치/케이블 배선,티치 펜던트 케이블을 배선할 때 케이블이 손상되지 않도록 유지해야 하는 최소 곡률반경은 얼마입니까?,page_116_img_0_0.jpeg,116,1,1,O,116-118,115-119,포함,"cable, routing, minimum bending radius, teach pendant cable, manipulator cable, installation preparation",로봇 설치 준비의 케이블 최소 곡률반경 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
유지 후보,Q17,툴 플랜지/통신 배선,플랜지의 RS-485 통신 포트를 사용할 때 X1 커넥터의 핀 번호는 무엇입니까?,page_128_img_0_0.jpeg,128,2,2,O,127-130,126-131,포함,"RS-485, X1, pin 4, pin 6, RS-485+, RS-485-, flange connector, communication",플랜지 I/O X1 커넥터 pin map section 기준,현재 매핑 유지 가능
유지 후보,Q18,안전 설정/협착 방지 구역,작업자의 손가락 끼임 사고를 방지하기 위해 설정할 수 있는 안전 구역의 명칭은 무엇입니까?,page_242_img_0_0.jpeg,242,1,1,O,239-243,238-244,포함,"Crushing Prevention Zone, finger, hand, safety zone, restricted space, worker, prevention",6.7.3 Safety Settings의 Crushing Prevention Zone section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
유지 후보,Q20,TCP/툴 좌표 설정,TCP(Tool Center Point) 설정 화면에서 Z축 방향의 오프셋(Offset)만 적용하려면 어떤 항목에 값을 입력해야 합니까?,page_201_img_1_0.jpeg,201,2,1,O,201-209,200-210,포함,"Tool Settings, TCP, Tool Center Point, Tool Coordinate, offset, X, Y, Z, flange, tool frame, simulation",매뉴얼 6.7.2 Tool Settings의 TCP/Tool Center Point 설명 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선 / TCP/Tool Settings와 Safety Zone 좌표계가 혼동되지 않도록 섹션 우선순위 분리"
유지 후보,Q21,안전 설정/Zone 형상,안전 영역(Zone) 설정 시 선택할 수 있는 3D 도형 모양 5가지는 무엇입니까?,page_241_img_0_0.jpeg,241,4,4,O,226-246,225-247,포함,"Zone, sphere, cylinder, cuboid, tilted cuboid, polyhedron, shape, safety settings",6.7.3 Safety Settings의 Zone 형상 설정 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
유지 후보,Q23,UI/시스템 정보 확인,로봇 시스템의 시간 기능을 확인하는 곳은 화면의 어디입니까?,page_167_img_3_0.jpeg,167,,5,O,164-170; 349-350,163-171; 348-351,포함,"Header, current time, menu button, System Information, Platform Version, DART-Platform",DART-Platform 화면 구성 및 System Information section 기준,현재 매핑 유지 가능
유지 후보,Q25,프로그래밍/모션 명령,조인트 각도를 기준으로 목표 위치까지 가장 빠른 경로로 이동하는 모션 명령어는 무엇입니까?,page_275_img_0_0.jpeg,275,,3,O,267-276,266-277,포함,"MoveJ, MoveL, motion, linear, joint, TCP, target pose, coordinate, motion command, radius",로봇 모션 속성 및 기본 개념 section 기준,현재 매핑 유지 가능
유지 후보,Q26,시스템 관리/소프트웨어 업데이트,소프트웨어 업데이트 모듈을 설치할 때 사용하는 패키지 파일의 확장자는 무엇입니까?,page_167_img_2_0.jpeg,167,3,2,O,166-167; 360-366,165-168; 359-367,포함,"module install, package file, .dm, Robot Update, update file, upload, version",Footer module install 및 Robot Update section 기준,현재 매핑 유지 가능
유지 후보,Q27,시스템 관리/공장 초기화,공장 출하 상태로 시스템을 복원하는 '공장 초기화(Factory Reset)' 진행 시 삭제되는 데이터는 무엇입니까?,page_370_img_0_0.jpeg,370,1,1,O,366-371,365-372,포함,"Factory Reset, database, log file, workcell item, task file, reset, data management",Settings Data management의 Factory Reset section 기준,현재 매핑 유지 가능
유지 후보,Q29,TCP/툴 좌표 설정,엔드 이펙터 툴의 중심 좌표계(Tool Coordinate)의 기준이 되는 z축의 방향은 플랜지 좌표계에서 어느 방향을 따라 회전합니까?,page_202_img_0_0.jpeg,202,4,4,O,201-209,200-210,포함,"Tool Settings, TCP, Tool Center Point, Tool Coordinate, offset, X, Y, Z, flange, tool frame, simulation",매뉴얼 6.7.2 Tool Settings의 TCP/Tool Center Point 설명 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선 / TCP/Tool Settings와 Safety Zone 좌표계가 혼동되지 않도록 섹션 우선순위 분리"
유지 후보,Q31,티치 펜던트/USB 데이터 관리,티치 펜던트에 위치한 USB 포트의 주된 용도는 무엇입니까?,page_103_img_0_0.jpeg,103,,3,O,102-103,101-104,포함,"teach pendant, USB, log backup, task export, task import, storage, connector",설치 매뉴얼 티치펜던트 각부 명칭 section 기준,현재 매핑 유지 가능
유지 후보,Q32,프로그램 실행/Home Position,로봇이 프로그램 시작점으로 기본 복귀할 수 있도록 설정하는 위치의 명칭은 무엇입니까?,page_192_img_0_0.jpeg,192,6,1,O,187-200,186-201,포함,"Home Position, Default Position, Custom Position, program start, robot settings, apply",Robot Settings의 Home Position section 기준,TBSFT/TBCI/TBCO/TBPWR 등 단자블록명 기준으로 세부 단계 분리
유지 후보,Q33,사용자 관리/권한,사용자 계정 관리에서 관리자(Supervisor) 권한으로 접근할 때 입력해야 하는 초기 비밀번호는 무엇입니까?,page_352_img_3_0.jpeg,352,2,2,O,342-354,341-355,포함,"user, account, supervisor, password, admin, safety password, lock, setting",Store account 및 Settings password section 기준,현재 매핑 유지 가능
유지 후보,Q34,안전 복구/패키징,로봇을 운반이나 포장하기 위해 안전 복구 모드에서 사용할 수 있는 전용 기능의 이름은 무엇입니까?,page_184_img_0_0.jpeg,184,2,1,O,90-91; 184-186,89-92; 183-187,포함,"packaging pose, Pack, Unpack, Recovery, default home position, packaging mode, joint limit",패키징 자세 해제 및 Recovery Pack/Unpack section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
유지 후보,Q35,제어기 I/O 배선,Configurable 디지털 I/O 전원을 내부 전원과 분리하기 위해 TBPWR 단자블록에서 제거해야 하는 점퍼선 결선은 무엇입니까?,page_144_img_1_0.jpeg,144,2,2,O,133-145,132-146,포함,"controller I/O, configurable digital I/O, NPN, PNP, VCC, VIO, GND, GIO, TBPWR, TBCO, TBCI",컨트롤러 I/O 구성하기 section 기준,TBSFT/TBCI/TBCO/TBPWR 등 단자블록명 기준으로 세부 단계 분리
유지 후보,Q38,통신/PROFINET,PROFINET 통신 구조에서 로봇 상태(Robot State) 정보를 전송하도록 할당된 Slot 번호는 몇 번입니까?,page_155_img_1_0.jpeg,155,2,2,O,153-158,152-159,포함,"PROFINET, Slot, Robot State, Slot#1, Ethernet/IP, adapter, transaction, GPR",인터페이스 확장 프로토콜 PROFINET section 기준,현재 매핑 유지 가능
유지 후보,Q39,설치/제품 개봉,제품을 처음 개봉할 때 로봇과 컨트롤러는 몇 개의 상자에 나누어 배송됩니까?,page_83_img_0_0.jpeg,83,1,1,O,83; 98-104,82-84; 97-105,포함,"unpacking, package, box, robot, controller, components, teach pendant, cable",로봇 시작하기 패킹 뜯기 및 설치 매뉴얼 구성품 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
유지 후보,Q40,설치/케이블 연결,티치펜던트와 로봇 케이블을 컨트롤러에 연결할 때 케이블이 빠지지 않도록 어떻게 연결해야 합니까?,page_84_img_0_0.jpeg,84,3,3,O,83-84; 119-122,82-85; 118-123,포함,"teach pendant cable, robot cable, manipulator cable, controller, click, fixing hook, system connection",빠른 설치 및 System connection의 케이블 연결 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
유지 후보,Q41,안전/전원/접지,컨트롤러 전원 케이블을 연결한 후 안전을 위해 반드시 확인해야 하는 전기적 조건은 무엇입니까?,page_86_img_0_0.jpeg,86,2,2,O,86-87; 120-122; 397-404,85-88; 119-123; 396-404,포함,"ground, earth, circuit breaker, power cable, controller, IEC plug, power supply, safety",컨트롤러 전원 연결 및 CS-12P 전원 공급 조건 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
유지 후보,Q42,설치/컨트롤러 배치,컨트롤러를 바닥에 설치할 때 기기 내부 환기를 위해 양쪽 면에 확보해야 하는 최소 여유 공간은 얼마입니까?,page_88_img_0_0.jpeg,88,2,2,O,87-89,86-90,포함,"controller, placement, ventilation, clearance, 50 mm, cable bending radius, floor",컨트롤러 배치하기 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
유지 후보,Q43,티치 펜던트/비상정지,로봇 설치 후 첫 부팅 시 비상 정지 경고 팝업이 나타나면 비상 정지 버튼을 어떻게 해제해야 합니까?,page_89_img_0_0.jpeg,89,2,2,O,89-90; 102-103,88-91; 101-104,포함,"teach pendant, emergency stop, top right, release, clockwise, warning popup, button",비상 정지 버튼 해제 및 티치펜던트 각부 명칭 section 기준,현재 매핑 유지 가능
유지 후보,Q44,티치 펜던트/전원 종료,시스템을 정상 종료할 때 전원 종료 팝업에서 눌러야 하는 버튼은 무엇입니까?,page_94_img_0_0.jpeg,94,2,1,O,94-95,93-96,포함,"system power off, shutdown popup, confirm, teach pendant, power off, exit button",시스템 전원 끄기 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
유지 후보,Q45,설치/로봇 운반,로봇을 설치 장소로 옮길 때 들어 올려야 하는 부분은 어디입니까?,page_98_img_1_0.jpeg,98,5,1,O,97-98; 160-162,96-99; 159-163,포함,"transport, lifting point, carry, shaded area, packaging, box, robot posture",설치 매뉴얼 이동 및 설치를 위한 인양 지점 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
유지 후보,Q46,설치/케이블 노이즈 대책,전자파 노이즈 영향을 줄이기 위해 매니퓰레이터 케이블 양단에 설치를 권장하는 부품은 무엇입니까?,page_119_img_1_0.jpeg,119,3,3,O,116-118,115-119,포함,"cable, electromagnetic noise, ferrite core, shield, malfunction, manipulator cable",로봇 설치 준비의 케이블 배치 및 노이즈 주의 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
유지 후보,Q47,설치/매니퓰레이터 연결,매니퓰레이터 연결 케이블을 컨트롤러에 연결한 뒤 케이블이 빠지지 않도록 추가로 해야 하는 조치는 무엇입니까?,page_120_img_0_0.jpeg,120,1,1,O,119-122,118-123,포함,"manipulator cable, controller, fixing hook, system connection, cable lock, power connector",설치 매뉴얼 System connection section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
유지 후보,Q48,툴 장착/플랜지 고정,툴을 툴 플랜지에 고정할 때 사용하는 볼트 수와 권장 체결 토크는 얼마입니까?,page_123_img_0_0.jpeg,123,2,2,O,93-94; 123-125,92-95; 122-126,포함,"tool flange, M6, bolt, 9 Nm, bracket, tool, fixed position, installation",툴 설치하기 및 로봇과 툴 연결하기 section 기준,현재 매핑 유지 가능
유지 후보,Q49,전원/컨트롤러 조작,컨트롤러에서 시스템 전원을 켤 때 누르는 물리적 스위치는 어디에 있습니까?,page_125_img_0_0.jpeg,125,2,2,O,88-89; 125-126,87-90; 124-126,포함,"controller power switch, power on, power off, controller bottom, teach pendant, system power",컨트롤러 전원 켜기 및 설치 매뉴얼 전원 section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
유지 후보,Q50,툴 플랜지/디지털 출력,플랜지 디지털 출력이 활성화되었을 때와 비활성화되었을 때 출력 채널 상태는 각각 어떻게 됩니까?,page_130_img_0_0.jpeg,130,1,1,O,130-131,129-132,포함,"flange digital output, PNP, Photo coupler, output channel, +24V, open, active, inactive",플랜지 디지털 출력 사양 section 기준,현재 매핑 유지 가능
유지 후보,Q51,툴 플랜지/아날로그 입력,플랜지 아날로그 입력 기능에서 설정 가능한 입력 모드는 무엇입니까?,page_132_img_0_0.png,132,1,1,O,132-133,131-134,포함,"flange analog input, voltage mode, current mode, 0-10V, 4-20mA, external device",플랜지 아날로그 입력 사양 section 기준,현재 매핑 유지 가능
유지 후보,Q52,제어기 I/O/외부 장치 연결,컨트롤러 I/O 단자를 통해 연결할 수 있는 대표적인 안전기기에는 무엇이 있습니까?,page_133_img_0_0.jpeg,133,3,1,O,133-134,132-135,포함,"external device, emergency stop switch, light curtain, safety mat, solenoid valve, relay, controller I/O",컨트롤러 I/O 외부 장치 연결 section 기준,TBSFT/TBCI/TBCO/TBPWR 등 단자블록명 기준으로 세부 단계 분리
유지 후보,Q53,제어기 I/O/엔코더 입력,컨트롤러의 외부 엔코더 입력 단자 TBEN은 어떤 엔코더 상을 입력받을 수 있습니까?,page_137_img_0_0.jpeg,137,1,1,O,137-138,136-139,포함,"TBEN, encoder, A phase, B phase, Z phase, S phase, conveyor, input voltage",외부 엔코더 입력 TBEN section 기준,TBSFT/TBCI/TBCO/TBPWR 등 단자블록명 기준으로 세부 단계 분리
유지 후보,Q54,제어기 I/O/디지털 입출력,컨트롤러의 Configurable 디지털 I/O는 디지털 입력과 디지털 출력을 각각 몇 개씩 제공합니까?,page_139_img_0_0.jpeg,139,1,1,O,139-144,138-145,포함,"digital input, digital output, configurable I/O, 16 input, 16 output, controller, terminal block",Configurable digital I/O 구성 section 기준,TBSFT/TBCI/TBCO/TBPWR 등 단자블록명 기준으로 세부 단계 분리
유지 후보,Q55,제어기 I/O/디지털 출력 배선,단순 부하를 구동할 때 TBCO 단자블록에서 부하는 어떤 단자 사이에 연결합니까?,page_141_img_1_0.jpeg,141,1,1,O,141-142,140-143,포함,"TBCO, Oxx, GIO, simple load, digital output, load, output channel",TBCO 단자블록 단순부하 배선 section 기준,TBSFT/TBCI/TBCO/TBPWR 등 단자블록명 기준으로 세부 단계 분리
유지 후보,Q56,제어기 I/O/Sink 배선,Sink type 입력기기와 연결할 때 Oxx 단자와 GIO 단자는 각각 어디에 연결합니까?,page_142_img_0_0.jpeg,142,1,1,O,141-143,140-144,포함,"Sink type, Negative common, Oxx, GIO, TBCO, input device, digital output wiring",디지털 I/O Sink type 배선 section 기준,TBSFT/TBCI/TBCO/TBPWR 등 단자블록명 기준으로 세부 단계 분리
유지 후보,Q57,안전 I/O/테스트 펄스,테스트 펄스가 포함된 안전신호를 연결할 수 있는 Safety Controller 전용 안전 입력 단자는 무엇입니까?,page_147_img_0_0.jpeg,147,1,1,O,145-147,144-148,포함,"test pulse, safety controller, SI1, SI2, SI3, SI4, safety signal, safety input",Safety Controller 전용 안전 입력 단자 설명 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선 / TBSFT/TBCI/TBCO/TBPWR 등 단자블록명 기준으로 세부 단계 분리"
유지 후보,Q58,네트워크/포트 연결,컨트롤러 네트워크 연결에서 WAN 포트와 LAN 포트의 용도는 각각 무엇입니까?,page_148_img_0_0.jpeg,148,1,1,O,148-153; 354-357,147-154; 353-358,포함,"WAN, LAN, TCP/IP, Modbus, Ethernet/IP, PROFINET, network, port, controller, external device",인터페이스 Network Connection 및 System Settings Network section 기준,현재 매핑 유지 가능
유지 후보,Q60,안전 복구/Recovery,Recovery 모듈은 어떤 상황에서 로봇 위치와 각도를 설정하기 위해 사용합니까?,page_181_img_0_0.jpeg,181,1,1,O,181-184,180-185,포함,"Recovery, safety violation, robot position, angle, joint, task, software recovery, emergency",Recovery module 및 software recovery mode section 기준,"넓은 키워드보다 섹션명, 부품명, 핀명, 명령어명 등 구체 키워드 우선"
