"질문 번호","질문","정답 텍스트","정답 이미지","실습 단계","질문 유형","라벨링 근거"
"Q14","로봇이 특이점(Singularity) 영역에 도달했을 때 제어를 보호하기 위해 발생하는 현상은 무엇입니까?","조인트 속력/각도 제한 위반으로 에러 발생 후 정지","page_173_img_1_0.jpeg","안전/특이점/동작 제한","안전 상태형","특이점 도달 시 제어 보호와 정지 현상을 묻는 안전 동작 질문"
"Q15","시스템의 과거 에러 로그를 추출하는 메뉴 경로는 어디입니까?","Logs 모듈","page_340_img_0_0.jpeg","시스템 관리/로그","메뉴 경로형","과거 에러 로그 확인 및 추출 메뉴를 묻는 시스템 관리 질문"
"Q16","티치 펜던트 케이블을 배선할 때 케이블이 손상되지 않도록 유지해야 하는 최소 곡률반경은 얼마입니까?","120mm","page_116_img_0_0.jpeg","설치/케이블 배선","설치 주의형","티치 펜던트 케이블 배선 시 손상 방지를 위한 곡률반경 질문"
"Q17","플랜지의 RS-485 통신 포트를 사용할 때 X1 커넥터의 핀 번호는 무엇입니까?","4번(RS-485+) 및 6번(RS-485-)","page_128_img_0_0.jpeg","툴 플랜지/통신 배선","배선 확인형","플랜지 RS-485 통신 핀 번호를 묻는 통신 배선 질문"
"Q18","작업자의 손가락 끼임 사고를 방지하기 위해 설정할 수 있는 안전 구역의 명칭은 무엇입니까?","협착 방지 구역 (Crushing Prevention Zone)","page_242_img_0_0.jpeg","안전 설정/협착 방지 구역","안전 설정형","작업자 협착 사고 방지를 위한 안전 구역 명칭을 묻는 질문"
"Q19","목표 위치를 향해 끝 단이 선형으로 이동하는 수동 이동(Jog) 방식은 무엇입니까?","태스크 모션 (Task Motion)","page_373_img_0_0.jpeg","수동 조작/Jog","개념 확인형","수동 이동 방식 중 끝단 선형 이동 방식을 묻는 조작 개념 질문"
"Q20","TCP(Tool Center Point) 설정 화면에서 Z축 방향의 오프셋(Offset)만 적용하려면 어떤 항목에 값을 입력해야 합니까?","Z 값에 거리 입력","page_201_img_1_0.jpeg","TCP/툴 좌표 설정","설정 절차형","TCP 설정에서 Z축 오프셋 입력 항목을 묻는 좌표 설정 질문"
"Q21","안전 영역(Zone) 설정 시 선택할 수 있는 3D 도형 모양 5가지는 무엇입니까?","구, 원기둥, 직육면체, 기울어진 다면상자","page_241_img_0_0.jpeg","안전 설정/Zone 형상","개념 확인형","안전 영역 설정에서 선택 가능한 3D 형상을 묻는 안전 설정 질문"
"Q22","다양한 프로그램 명령어를 조립하여 로봇 동작을 구성하는 두산로보틱스의 프로그래밍 모듈 명칭은 무엇입니까?","Task Editor (태스크 에디터)","page_262_img_0_0.jpeg","프로그래밍/Task Editor","개념 확인형","로봇 동작 프로그램을 구성하는 프로그래밍 모듈 명칭 질문"
"Q23","로봇 시스템의 시간 기능을 확인하는 곳은 화면의 어디입니까?","Header의 현재 시간 정보","page_167_img_3_0.jpeg","UI/시스템 정보 확인","화면 위치형","화면 Header에서 시간 정보를 확인하는 UI 위치 질문"
"Q24","로봇의 이동 경로를 티칭할 때 직선으로 이동하도록 강제하는 모션 명령어는 무엇입니까?","MoveL","page_275_img_0_0.jpeg","프로그래밍/모션 명령","명령어 확인형","직선 경로 이동을 위한 MoveL 명령어를 묻는 프로그래밍 질문"
"Q25","조인트 각도를 기준으로 목표 위치까지 가장 빠른 경로로 이동하는 모션 명령어는 무엇입니까?","MoveJ","page_275_img_0_0.jpeg","프로그래밍/모션 명령","명령어 확인형","조인트 기준 최단 경로 이동을 위한 MoveJ 명령어를 묻는 프로그래밍 질문"
"Q26","소프트웨어 업데이트 모듈을 설치할 때 사용하는 패키지 파일의 확장자는 무엇입니까?",".dm (다운로드 받은 모듈 패키지 설치 파일)","page_167_img_2_0.jpeg","시스템 관리/소프트웨어 업데이트","파일 형식 확인형","소프트웨어 업데이트 모듈 설치 파일 확장자를 묻는 시스템 관리 질문"
"Q27","공장 출하 상태로 시스템을 복원하는 '공장 초기화(Factory Reset)' 진행 시 삭제되는 데이터는 무엇입니까?","데이터 베이스, 로그파일, 워크셀 아이템, 태스크 파일","page_370_img_0_0.jpeg","시스템 관리/공장 초기화","주의 사항형","공장 초기화 시 삭제되는 데이터 범위를 묻는 시스템 관리 질문"
"Q28","로봇 큐브 모듈 케이블을 결합할 때 방수 등급 강화를 위해 케이블에 결합해야 하는 부품은 무엇입니까?","그로밋 (Grommet)","page_405_img_0_0.jpeg","설치/케이블 방수","부품 확인형","큐브 모듈 케이블 결합 시 방수 등급 강화를 위한 부품 질문"
"Q29","엔드 이펙터 툴의 중심 좌표계(Tool Coordinate)의 기준이 되는 z축의 방향은 플랜지 좌표계에서 어느 방향을 따라 회전합니까?","플랜지 좌표계의 z축","page_202_img_0_0.jpeg","TCP/툴 좌표 설정","개념 확인형","툴 좌표계 기준 z축 방향을 묻는 좌표계 개념 질문"
"Q30","전원 입력 시 극성이 잘못 결선되었을 때 컨트롤러 고장을 막기 위해 주의해야 할 항목은 무엇입니까?","입력 전압의 극성이 반대로 연결되지 않도록 주의","page_403_img_0_0.jpeg","안전/전원/극성","안전 주의형","전원 입력 극성 오결선으로 인한 컨트롤러 고장 방지 질문"
"Q31","티치 펜던트에 위치한 USB 포트의 주된 용도는 무엇입니까?","로봇 로그 저장매체 백업 및 태스크 내보내기/가져오기","page_103_img_0_0.jpeg","티치 펜던트/USB 데이터 관리","기능 확인형","티치 펜던트 USB 포트의 로그 백업 및 태스크 입출력 용도 질문"
"Q32","로봇이 프로그램 시작점으로 기본 복귀할 수 있도록 설정하는 위치의 명칭은 무엇입니까?","Home Position (홈 포지션)","page_192_img_0_0.jpeg","프로그램 실행/Home Position","개념 확인형","프로그램 시작점 복귀 위치인 Home Position 명칭 질문"
"Q33","사용자 계정 관리에서 관리자(Supervisor) 권한으로 접근할 때 입력해야 하는 초기 비밀번호는 무엇입니까?","admin","page_352_img_3_0.jpeg","사용자 관리/권한","계정 정보형","Supervisor 권한 접근을 위한 초기 비밀번호 질문"
"Q34","로봇을 운반이나 포장하기 위해 안전 복구 모드에서 사용할 수 있는 전용 기능의 이름은 무엇입니까?","패키징 모드","page_184_img_0_0.jpeg","안전 복구/패키징","기능 확인형","운반 및 포장을 위한 안전 복구 모드 기능 질문"
"Q35","Configurable 디지털 I/O 전원을 내부 전원과 분리하기 위해 TBPWR 단자블록에서 제거해야 하는 점퍼선 결선은 무엇입니까?","VCC-VIO 및 GND-GIO","page_144_img_1_0.jpeg","제어기 I/O 배선","배선 확인형","Configurable 디지털 I/O 전원 분리를 위한 점퍼선 제거 질문"
"Q36","공간 제한 구역을 '기울어진 직육면체(3포인트 & 높이)'로 설정할 때 3D 시뮬레이션 화면에서 지정해야 하는 3개의 점은 무엇입니까?","기준점, x축 위의 점, xy평면 위의 점","page_237_img_0_0.jpeg","안전 설정/공간 제한 구역","설정 절차형","공간 제한 구역 형상 설정에 필요한 3개 기준점 질문"
"Q37","힘 제어 모드에서 외력 센서값 오차를 초기화하기 위해 Custom Code에 입력해야 하는 DRL 명령어는 무엇입니까?","set_external_force_reset()","page_310_img_1_0.jpeg","힘 제어/Custom Code","명령어 확인형","힘 제어 외력 센서값 초기화를 위한 DRL 명령어 질문"
"Q38","PROFINET 통신 구조에서 로봇 상태(Robot State) 정보를 전송하도록 할당된 Slot 번호는 몇 번입니까?","Slot#1","page_155_img_1_0.jpeg","통신/PROFINET","통신 설정형","PROFINET 통신에서 Robot State 전송 Slot 번호를 묻는 통신 구조 질문"
