stage_id,실습 단계,질문 수,근거 질문,텍스트 페이지 범위,이미지 페이지 범위,섹션 키워드,본문 키워드,동작/질문 키워드,가중치,근거
M017,설치/케이블 연결,1,평가 정답 미사용,83-84; 119-122,82-85; 118-123,"Controller cable connection, system connection","teach pendant cable, robot cable, manipulator cable, controller, click, fixing hook, system connection","connect cable, teach pendant, manipulator, controller",1.00,빠른 설치 및 System connection의 케이블 연결 section 기준
M018,수동 조작/Jog,1,평가 정답 미사용,373-381,372-382,"Jog, manual operation, task motion","Jog, manual, task motion, joint motion, linear, end-effector, target position","Jog, task motion, linear movement",1.00,DART-Platform Jog module 화면 section 기준
M019,시스템 관리/공장 초기화,1,평가 정답 미사용,366-371,365-372,"Data management, Factory Reset","Factory Reset, database, log file, workcell item, task file, reset, data management","factory reset, reset, delete data",1.00,Settings Data management의 Factory Reset section 기준
M020,시스템 관리/로그,1,평가 정답 미사용,339-342,338-342,"Logs, log management","Logs, log, date filter, category, level, warning, information, comment, error log","log, error log, export, filter",1.00,DART-Platform Logs module section 기준
M021,시스템 관리/소프트웨어 업데이트,1,평가 정답 미사용,166-167; 360-366,165-168; 359-367,"Module install, Robot Update","module install, package file, .dm, Robot Update, update file, upload, version","software update, module install, .dm, package",1.00,Footer module install 및 Robot Update section 기준
M022,안전 I/O/보호정지 배선,1,평가 정답 미사용,144-147,143-148,"Safety I/O, protective stop, TBSFT","Safety I/O, TBSFT, PR, protective stop, safety input, terminal block, light curtain, fence","protective stop, PR, TBSFT, safety input",1.00,컨트롤러 Safety I/O 구성하기 section 기준
M023,안전 I/O/비상정지 배선,1,평가 정답 미사용,144-147,143-148,"Safety I/O, emergency stop, TBSFT","Safety I/O, TBSFT, EM, emergency stop, safety input, terminal block, external switch","emergency stop, EM, TBSFT, safety input",1.00,컨트롤러 Safety I/O 구성하기 section 기준
M024,안전 I/O/테스트 펄스,1,평가 정답 미사용,145-147,144-148,"Safety I/O, test pulse","test pulse, safety controller, SI1, SI2, SI3, SI4, safety signal, safety input","test pulse, SI1, SI2, SI3, SI4",1.00,Safety Controller 전용 안전 입력 단자 설명 기준
M025,안전 복구/Recovery,1,평가 정답 미사용,181-184,180-185,"Recovery, software recovery mode","Recovery, safety violation, robot position, angle, joint, task, software recovery, emergency","Recovery, safety violation, robot position",1.00,Recovery module 및 software recovery mode section 기준
M026,안전 복구/패키징,1,평가 정답 미사용,90-91; 184-186,89-92; 183-187,"Packaging pose, Pack, Unpack","packaging pose, Pack, Unpack, Recovery, default home position, packaging mode, joint limit","packaging, Pack, Unpack, Recovery",1.00,패키징 자세 해제 및 Recovery Pack/Unpack section 기준
M027,안전 설정/Safety Review,1,평가 정답 미사용,246-249,245-250,Safety Setting Review,"Safety Setting Review, Robot Parameter, safety settings, review, save, changed value","Safety Review, changed value, save",1.00,6.7.4 Safety Setting Review section 기준
M028,안전 설정/Zone 형상,1,평가 정답 미사용,226-246,225-247,"Safety Settings, Zone, shape","Zone, sphere, cylinder, cuboid, tilted cuboid, polyhedron, shape, safety settings","zone, shape, sphere, cylinder, cuboid",1.00,6.7.3 Safety Settings의 Zone 형상 설정 section 기준
M029,안전 설정/공간 제한 구역,2,평가 정답 미사용,226-238,225-239,"Safety Settings, Space Limit, point","Space Limit, zone, point 1, point 2, 3 point, height, x axis, xy plane, safety zone","space limit, point, height, x axis, xy plane",1.00,6.7.3 Safety Settings의 Space Limit section 기준
M030,안전 설정/구역 설정,1,평가 정답 미사용,224-230,223-231,"Safety Settings, zone setting, center position","Zone, center position, X, Y, Z, sphere, radius, safety area, robot parameter","zone, center position, X, Y, Z",1.00,6.7.3 Safety Settings의 Zone 위치 입력 section 기준
M031,안전 설정/충돌 민감도 감소 구역,1,평가 정답 미사용,240-246,239-247,"Safety Settings, collision sensitivity reduction zone","collision sensitivity, reduction zone, material, surface, sensitivity, safety zone, robot parameter","collision sensitivity, reduction zone",1.00,6.7.3 Safety Settings의 충돌 민감도 감소 구역 section 기준
M032,안전 설정/협착 방지 구역,1,평가 정답 미사용,239-243,238-244,"Safety Settings, Crushing Prevention Zone","Crushing Prevention Zone, finger, hand, safety zone, restricted space, worker, prevention","crushing prevention, safety zone, finger",1.00,6.7.3 Safety Settings의 Crushing Prevention Zone section 기준
M033,안전/전원/극성,1,평가 정답 미사용,397-404,396-404,"CS-12P, power input, polarity","power input, polarity, reverse polarity, controller failure, DC controller, voltage, ground, circuit breaker","power, polarity, reverse, controller",1.00,부록 CS-12P 전원 입력 주의 section 기준
M034,안전/전원/접지,2,평가 정답 미사용,86-87; 120-122; 397-404,85-88; 119-123; 396-404,"Power connection, grounding, CS-12P","ground, earth, circuit breaker, power cable, controller, IEC plug, power supply, safety","grounding, circuit breaker, power connection",1.00,컨트롤러 전원 연결 및 CS-12P 전원 공급 조건 section 기준
M035,안전/전원/케이블,1,평가 정답 미사용,397-404,396-404,"CS-12P, power cable, controller warning","cable, extension, modification, fire, controller failure, power supply, DC controller, safety warning","cable, modification, fire, controller failure",1.00,부록 CS-12P 케이블/전원 안전 주의 section 기준
M036,안전/특이점/동작 제한,1,평가 정답 미사용,173-175,172-176,"Singularity, motion limitation","Singularity, wrist, shoulder, elbow, joint speed, angle limit, stop, position error","singularity, joint speed, angle limit",1.00,DART-Platform Singularity 설명 section 기준
M037,원격 제어/필수 설정,1,평가 정답 미사용,249-257,248-258,"Remote Control, required settings","Remote Control, module, task, safety input signal, servo on, run, dashboard, input signal","remote control, module, task, safety input",1.00,Remote Control 설정 항목 및 실행 절차 section 기준
M038,전원/컨트롤러 조작,1,평가 정답 미사용,88-89; 125-126,87-90; 124-126,Controller power switch,"controller power switch, power on, power off, controller bottom, teach pendant, system power","power switch, controller, power on",1.00,컨트롤러 전원 켜기 및 설치 매뉴얼 전원 section 기준
M039,제어기 I/O 배선,2,평가 정답 미사용,133-145,132-146,"Controller I/O, configurable digital I/O","controller I/O, configurable digital I/O, NPN, PNP, VCC, VIO, GND, GIO, TBPWR, TBCO, TBCI","controller I/O, NPN, TBPWR, VCC, GND",1.00,컨트롤러 I/O 구성하기 section 기준
M040,제어기 I/O/Sink 배선,1,평가 정답 미사용,141-143,140-144,"Controller I/O, Sink type","Sink type, Negative common, Oxx, GIO, TBCO, input device, digital output wiring","Sink type, Oxx, GIO, Negative common",1.00,디지털 I/O Sink type 배선 section 기준
M041,제어기 I/O/디지털 입출력,1,평가 정답 미사용,139-144,138-145,Configurable digital I/O,"digital input, digital output, configurable I/O, 16 input, 16 output, controller, terminal block","digital input, digital output, 16",1.00,Configurable digital I/O 구성 section 기준
M042,제어기 I/O/디지털 출력 배선,1,평가 정답 미사용,141-142,140-143,"Digital output wiring, simple load","TBCO, Oxx, GIO, simple load, digital output, load, output channel","TBCO, Oxx, GIO, load",1.00,TBCO 단자블록 단순부하 배선 section 기준
M043,제어기 I/O/엔코더 입력,1,평가 정답 미사용,137-138,136-139,"External encoder input, TBEN","TBEN, encoder, A phase, B phase, Z phase, S phase, conveyor, input voltage","TBEN, encoder, A phase, B phase, Z phase",1.00,외부 엔코더 입력 TBEN section 기준
M044,제어기 I/O/외부 장치 연결,1,평가 정답 미사용,133-134,132-135,External device connection,"external device, emergency stop switch, light curtain, safety mat, solenoid valve, relay, controller I/O","external device, safety device, controller I/O",1.00,컨트롤러 I/O 외부 장치 연결 section 기준
M045,좌표계/오른손 법칙,1,평가 정답 미사용,175-177,174-178,"Coordinate system, right-hand rule","coordinate, right-hand rule, X axis, Y axis, Z axis, thumb, index finger, middle finger","right-hand rule, X, Y, Z",1.00,DART-Platform 좌표계/축 방향 설명 section 기준
M046,직접교시/Cockpit,1,평가 정답 미사용,194-196,193-197,"Cockpit, direct teaching","Cockpit, direct teaching, freedrive, constrained motion, tool flange, button, hand guiding","Cockpit, direct teaching, button",1.00,Robot Settings의 Cockpit 직접 교시 설명 section 기준
M047,직접교시/Cockpit 설정,1,평가 정답 미사용,196-200,195-201,Cockpit settings,"Cockpit, button 1, button 2, 1+2, guide image, setting, reset, function","Cockpit, button setting, function",1.00,Robot Settings의 Cockpit 설정 화면 section 기준
M048,통신/PROFINET,1,평가 정답 미사용,153-158,152-159,"PROFINET, extended protocol","PROFINET, Slot, Robot State, Slot#1, Ethernet/IP, adapter, transaction, GPR","PROFINET, Slot#1, Robot State",1.00,인터페이스 확장 프로토콜 PROFINET section 기준
M049,툴 설정/Tool Shape,1,평가 정답 미사용,207-210,206-211,"Tool Settings, Tool Shape","Tool Shape, name, tool item, simulation, robot end, protection, shape","Tool Shape, name, add tool shape",1.00,Tool Settings의 Tool Shape section 기준
M050,툴 설정/Tool Weight,1,평가 정답 미사용,203-207,202-208,"Tool Settings, Tool Weight","Tool Weight, weight, center of gravity, tool settings, robot parameters, payload","Tool Weight, weight, center of gravity",1.00,Tool Settings의 Tool Weight section 기준
M051,툴 장착/플랜지 고정,1,평가 정답 미사용,93-94; 123-125,92-95; 122-126,"Tool installation, tool flange","tool flange, M6, bolt, 9 Nm, bracket, tool, fixed position, installation","tool flange, M6, bolt, 9 Nm",1.00,툴 설치하기 및 로봇과 툴 연결하기 section 기준
M052,툴 플랜지/I/O 배선,1,평가 정답 미사용,127-130,126-131,"Flange I/O, Schematic Diagram, X1 connector","flange I/O, X1, 8 pin, pin map, Power, GND, digital input, RS-485, connector","flange I/O, X1, pin, Power, GND",1.00,플랜지 I/O Schematic Diagram section 기준
M053,툴 플랜지/디지털 출력,1,평가 정답 미사용,130-131,129-132,Flange digital output,"flange digital output, PNP, Photo coupler, output channel, +24V, open, active, inactive","digital output, +24V, open",1.00,플랜지 디지털 출력 사양 section 기준
M054,툴 플랜지/아날로그 입력,1,평가 정답 미사용,132-133,131-134,Flange analog input,"flange analog input, voltage mode, current mode, 0-10V, 4-20mA, external device","analog input, voltage, current, 0-10V, 4-20mA",1.00,플랜지 아날로그 입력 사양 section 기준
M055,툴 플랜지/통신 배선,1,평가 정답 미사용,127-130,126-131,"Flange I/O, RS-485, X1 connector","RS-485, X1, pin 4, pin 6, RS-485+, RS-485-, flange connector, communication","RS-485, X1, pin 4, pin 6",1.00,플랜지 I/O X1 커넥터 pin map section 기준
M056,티치 펜던트/USB 데이터 관리,1,평가 정답 미사용,102-103,101-104,"Teach pendant, USB","teach pendant, USB, log backup, task export, task import, storage, connector","USB, log backup, task export, task import",1.00,설치 매뉴얼 티치펜던트 각부 명칭 section 기준
M057,티치 펜던트/비상정지,2,평가 정답 미사용,89-90; 102-103,88-91; 101-104,"Teach pendant, emergency stop button","teach pendant, emergency stop, top right, release, clockwise, warning popup, button","emergency stop, teach pendant, release, clockwise",1.00,비상 정지 버튼 해제 및 티치펜던트 각부 명칭 section 기준
M058,티치 펜던트/상태 확인,1,평가 정답 미사용,331-338,330-339,"Status, I/O Overview","Status, I/O Overview, joint angle, robot current position, controller input, output, monitoring","Status, I/O Overview, joint angle",1.00,Status module 및 I/O Overview section 기준
M059,티치 펜던트/전원 조작,1,평가 정답 미사용,94-95; 102-103,93-96; 101-104,"Teach pendant, power button","teach pendant, power button, long press, 4 seconds, forced shutdown, system power","power button, long press, shutdown",1.00,티치펜던트 각부 명칭 및 시스템 전원 끄기 section 기준
M060,티치 펜던트/전원 종료,1,평가 정답 미사용,94-95,93-96,"System power off, shutdown popup","system power off, shutdown popup, confirm, teach pendant, power off, exit button","power off, shutdown popup, confirm",1.00,시스템 전원 끄기 section 기준
M061,프로그래밍/Task Editor,1,평가 정답 미사용,262-267,261-268,"Task Editor, command editor","Task Editor, command, task list, property, command list, programming, copy, paste, delete","Task Editor, command, program",1.00,DART-Platform Task Editor module section 기준
M062,프로그래밍/모션 명령,2,평가 정답 미사용,267-276,266-277,"Robot motion property, MoveJ, MoveL","MoveJ, MoveL, motion, linear, joint, TCP, target pose, coordinate, motion command, radius","MoveJ, MoveL, linear, joint",1.00,로봇 모션 속성 및 기본 개념 section 기준
M063,프로그램 실행/Home Position,1,평가 정답 미사용,187-200,186-201,"Robot Settings, Home Position","Home Position, Default Position, Custom Position, program start, robot settings, apply","Home Position, Default Position, Custom Position",1.00,Robot Settings의 Home Position section 기준
M064,힘 제어/Custom Code,1,평가 정답 미사용,299-311,298-312,"Force Control, Custom Code, command example","force control, external force, set_external_force_reset, Custom Code, compliance, force reset, DRL","set_external_force_reset, external force, Custom Code",1.00,힘 제어 명령어 예제 및 Custom Code section 기준
