질문 번호,구분,질문,정답 실습 단계,예측 실습 단계,G4 적용 단계,분류 점수,분류 margin,G4 적용,정답 텍스트,G3 텍스트 정답 순위,G4-oracle 텍스트 정답 순위,G4 텍스트 정답 순위,G4 텍스트 평가,G4 텍스트 평가 근거,정답 이미지,G3 이미지 정답 순위,G4-oracle 이미지 정답 순위,G4 이미지 정답 순위,G4 이미지 평가,G4 검색 이미지 Top-10
Q01,기존,로봇 케이블을 임의로 개조하거나 연장할 경우 발생할 수 있는 가장 큰 위험 두 가지는 무엇입니까?,안전/전원/케이블,설치/케이블 노이즈 대책,,0.5419,0.0279,X,화재가 발생하거나 컨트롤러가 고장 날 수 있음,2,2,2,O,"keyword:발생,컨트롤러,고장",page_403_img_0_0.jpeg,,6,,X,"1. page_104_img_0_0.jpeg | score=0.716 | stage=0.000 | 
7. page_176_img_1_0.png | score=0.929 | stage=0.580 | page=1.00
8. page_176_img_3_0.jpeg | score=0.925 | stage=0.580 | page=1.00
9. page_176_img_2_0.jpeg | score=0.922 | stage=0.580 | page=1.00
10. page_176_img_0_0.png | score=0.919 | stage=0.580 | page=1.00"
Q15,기존,시스템의 과거 에러 로그를 추출하는 메뉴 경로는 어디입니까?,시스템 관리/로그,UI/시스템 정보 확인,,0.4739,0.0053,X,Logs 모듈,1,1,1,O,semantic_rank:7,page_340_img_0_0.jpeg,,3,,X,"1. page_366_img_0_0.jpeg | score=0.817 | stage=0.000 | 
2. page_342_img_0_0.jpeg | score=0.809 | stage=0.000 | 
3. page_368_img_0_0.jpeg | score=0.783 | stage=0.000 | 
4. page_182_img_0_0.jpeg | score=0.773 | stage=0.000 | 
5. page_363_img_0_0.jpeg | score=0.763 | stage=0.000 | 
6. page_369_img_0_0.jpeg | score=0.756 | stage=0.000 | 
7. page_370_img_0_0.jpeg | score=0.748 | stage=0.000 | 
8. page_364_img_1_0.jpeg | score=0.744 | stage=0.000 | 
9. page_342_img_2_0.jpeg | score=0.741 | stage=0.000 | 
10. page_169_img_2_0.jpeg | score=0.713 | stage=0.000 | "
Q16,기존,티치 펜던트 케이블을 배선할 때 케이블이 손상되지 않도록 유지해야 하는 최소 곡률반경은 얼마입니까?,설치/케이블 배선,설치/케이블 배선,설치/케이블 배선,0.6015,0.1581,O,120mm,1,1,1,O,semantic_rank:4,page_116_img_0_0.jpeg,1,1,1,O,"1. page_116_img_0_0.jpeg | score=1.262 | stage=0.580 | page=1.00
2. page_119_img_1_0.jpeg | score=1.237 | stage=0.580 | page=1.00
3. page_121_img_0_0.jpeg | score=1.160 | stage=0.580 | page=1.00
4. page_123_img_0_0.jpeg | score=1.055 | stage=0.580 | page=1.00
5. page_115_img_0_0.jpeg | score=0.997 | stage=0.580 | page=1.00
6. page_119_img_0_0.jpeg | score=0.972 | stage=0.580 | page=1.00
7. page_124_img_0_0.jpeg | score=0.895 | stage=0.580 | page=1.00
8. page_88_img_1_0.jpeg | score=0.875 | stage=0.258 | 
9. page_88_img_0_0.jpeg | score=0.872 | stage=0.276 | 
10. page_120_img_0_0.jpeg | score=0.866 | stage=0.406 | page=0.70"
Q17,기존,플랜지의 RS-485 통신 포트를 사용할 때 X1 커넥터의 핀 번호는 무엇입니까?,툴 플랜지/통신 배선,툴 플랜지/통신 배선,툴 플랜지/통신 배선,0.7315,0.0850,O,4번(RS-485+) 및 6번(RS-485-),1,1,1,O,"keyword:rs,485",page_128_img_0_0.jpeg,2,2,2,O,"1. page_127_img_0_0.jpeg | score=1.274 | stage=0.617 | page=1.00; section=o
2. page_128_img_0_0.jpeg | score=1.259 | stage=0.617 | page=1.00; section=o
3. page_130_img_0_0.jpeg | score=1.192 | stage=0.617 | page=1.00; section=o
4. page_123_img_0_0.jpeg | score=1.026 | stage=0.443 | page=0.70; section=o
5. page_132_img_0_0.png | score=0.986 | stage=0.617 | page=1.00; section=o
6. page_133_img_0_0.jpeg | score=0.972 | stage=0.617 | page=1.00; section=o
7. page_201_img_1_0.jpeg | score=0.876 | stage=0.297 | section=o
8. page_124_img_0_0.jpeg | score=0.762 | stage=0.443 | page=0.70; section=o
9. page_125_img_0_0.jpeg | score=0.758 | stage=0.443 | page=0.70; section=o
10. page_141_img_1_0.jpeg | score=0.745 | stage=0.337 | section=o"
Q18,기존,작업자의 손가락 끼임 사고를 방지하기 위해 설정할 수 있는 안전 구역의 명칭은 무엇입니까?,안전 설정/협착 방지 구역,안전 설정/협착 방지 구역,안전 설정/협착 방지 구역,0.5925,0.0969,O,협착 방지 구역 (Crushing Prevention Zone),1,1,1,O,"keyword:협착,방지,구역,crushing,prevention,zone; semantic_rank:1",page_242_img_0_0.jpeg,1,1,1,O,"1. page_242_img_0_0.jpeg | score=1.311 | stage=0.655 | page=1.00; section=safety settings
2. page_241_img_0_0.jpeg | score=1.083 | stage=0.655 | page=1.00; section=safety settings
3. page_243_img_0_0.jpeg | score=1.049 | stage=0.655 | page=1.00; section=safety settings
4. page_224_img_0_0.jpeg | score=1.014 | stage=0.655 | page=1.00; section=safety settings
5. page_243_img_1_0.jpeg | score=1.000 | stage=0.655 | page=1.00; section=safety settings
6. page_240_img_0_0.jpeg | score=0.952 | stage=0.655 | page=1.00; section=safety settings
7. page_245_img_0_0.jpeg | score=0.949 | stage=0.655 | page=1.00; section=safety settings
8. page_244_img_0_0.jpeg | score=0.937 | stage=0.655 | page=1.00; section=safety settings
9. page_225_img_0_0.jpeg | score=0.861 | stage=0.655 | page=1.00; section=safety settings
10. page_24_img_0_0.jpeg | score=0.860 | stage=0.319 | "
Q19,기존,목표 위치를 향해 끝 단이 선형으로 이동하는 수동 이동(Jog) 방식은 무엇입니까?,수동 조작/Jog,수동 조작/Jog,수동 조작/Jog,0.5756,0.1313,O,태스크 모션 (Task Motion),1,1,1,O,"keyword:태스크,모션; semantic_rank:4",page_373_img_0_0.jpeg,,8,8,△,"1. page_374_img_1_0.jpeg | score=1.313 | stage=0.698 | page=1.00; keyword=jog,manual; section=jog
2. page_375_img_0_0.jpeg | score=1.307 | stage=0.698 | page=1.00; keyword=jog,manual; section=jog
3. page_384_img_0_0.jpeg | score=1.094 | stage=0.614 | page=1.00; keyword=manual
4. page_379_img_2_0.jpeg | score=1.063 | stage=0.614 | page=1.00; keyword=manual
5. page_374_img_0_0.jpeg | score=1.044 | stage=0.614 | page=1.00; keyword=manual
6. page_379_img_1_0.jpeg | score=1.015 | stage=0.614 | page=1.00; keyword=manual
7. page_378_img_2_0.jpeg | score=0.977 | stage=0.614 | page=1.00; keyword=manual
8. page_373_img_0_0.jpeg | score=0.976 | stage=0.580 | page=1.00
9. page_376_img_0_0.jpeg | score=0.961 | stage=0.580 | page=1.00
10. page_378_img_0_0.jpeg | score=0.917 | stage=0.614 | page=1.00; keyword=manual"
Q20,기존,TCP(Tool Center Point) 설정 화면에서 Z축 방향의 오프셋(Offset)만 적용하려면 어떤 항목에 값을 입력해야 합니까?,TCP/툴 좌표 설정,TCP/툴 좌표 설정,TCP/툴 좌표 설정,0.6568,0.1814,O,Z 값에 거리 입력,2,1,1,O,semantic_rank:2,page_201_img_1_0.jpeg,2,1,1,O,"1. page_201_img_1_0.jpeg | score=1.371 | stage=0.861 | page=1.00; keyword=tool settings,tcp,tool center point,x; section=tool settings,tool center point,tcp
2. page_203_img_0_0.jpeg | score=1.319 | stage=0.752 | page=1.00; keyword=tool settings,x,y,z; section=tool settings
3. page_202_img_0_0.jpeg | score=1.284 | stage=0.752 | page=1.00; keyword=tool settings,x,y,z; section=tool settings
4. page_201_img_0_0.jpeg | score=1.283 | stage=0.861 | page=1.00; keyword=tool settings,tcp,tool center point,x; section=tool settings,tool center point,tcp
5. page_208_img_0_0.jpeg | score=1.267 | stage=0.752 | page=1.00; keyword=tool settings,x,y,z; section=tool settings
6. page_204_img_1_0.jpeg | score=1.251 | stage=0.790 | page=1.00; keyword=tool settings,tcp,x,y; section=tool settings,tcp
7. page_244_img_0_0.jpeg | score=1.180 | stage=0.473 | page=0.70; keyword=x,y
8. page_202_img_1_0.jpeg | score=1.114 | stage=0.861 | page=1.00; keyword=tool settings,tcp,tool center point,x; section=tool settings,tool center point,tcp
9. page_209_img_0_0.jpeg | score=1.070 | stage=0.752 | page=1.00; keyword=tool settings,x,y,z; section=tool settings
10. page_205_img_1_0.jpeg | score=1.041 | stage=0.719 | page=1.00; keyword=tool settings,x,y; section=tool settings"
Q21,기존,안전 영역(Zone) 설정 시 선택할 수 있는 3D 도형 모양 5가지는 무엇입니까?,안전 설정/Zone 형상,안전 설정/Zone 형상,,0.5676,0.0271,X,"구, 원기둥, 직육면체, 기울어진 다면상자",1,1,1,O,page,page_241_img_0_0.jpeg,4,4,4,O,"1. page_224_img_0_0.jpeg | score=0.858 | stage=0.000 | 
2. page_242_img_0_0.jpeg | score=0.811 | stage=0.000 | 
3. page_240_img_0_0.jpeg | score=0.803 | stage=0.000 | 
4. page_241_img_0_0.jpeg | score=0.781 | stage=0.000 | 
5. page_236_img_0_0.jpeg | score=0.709 | stage=0.000 | 
6. page_244_img_0_0.jpeg | score=0.659 | stage=0.000 | 
7. page_226_img_2_0.jpeg | score=0.658 | stage=0.000 | 
8. page_245_img_0_0.jpeg | score=0.651 | stage=0.000 | 
9. page_243_img_0_0.jpeg | score=0.643 | stage=0.000 | 
10. page_235_img_1_0.jpeg | score=0.634 | stage=0.000 | "
Q22,기존,다양한 프로그램 명령어를 조립하여 로봇 동작을 구성하는 두산로보틱스의 프로그래밍 모듈 명칭은 무엇입니까?,프로그래밍/Task Editor,프로그래밍/모션 명령,프로그래밍/모션 명령,0.5087,0.0587,O,Task Editor (태스크 에디터),10,10,10,△,"keyword:task,editor,태스크; semantic_rank:4",page_262_img_0_0.jpeg,,,,X,"1. page_278_img_1_0.jpeg | score=1.165 | stage=0.580 | page=1.00
2. page_275_img_0_0.jpeg | score=1.057 | stage=0.747 | page=1.00; keyword=movej,movel; section=movej,movel
3. page_271_img_1_0.jpeg | score=0.945 | stage=0.614 | page=1.00; keyword=radius
4. page_277_img_0_0.jpeg | score=0.927 | stage=0.580 | page=1.00
5. page_316_img_0_0.jpeg | score=0.906 | stage=0.346 | 
6. page_312_img_0_0.jpeg | score=0.831 | stage=0.341 | 
7. page_267_img_1_0.jpeg | score=0.744 | stage=0.747 | page=1.00; keyword=movej,movel; section=movej,movel
8. page_276_img_0_0.jpeg | score=0.721 | stage=0.580 | page=1.00
9. page_265_img_1_0.jpeg | score=0.702 | stage=0.580 | page=1.00
10. page_174_img_1_0.jpeg | score=0.686 | stage=0.276 | "
Q23,기존,로봇 시스템의 시간 기능을 확인하는 곳은 화면의 어디입니까?,UI/시스템 정보 확인,UI/시스템 정보 확인,UI/시스템 정보 확인,0.5290,0.0380,O,Header의 현재 시간 정보,4,4,4,O,"keyword:시간,정보",page_167_img_3_0.jpeg,,5,5,O,"1. page_168_img_0_0.jpeg | score=1.060 | stage=0.614 | page=1.00; keyword=dart-platform
2. page_165_img_0_0.jpeg | score=1.005 | stage=0.580 | page=1.00
3. page_357_img_0_0.jpeg | score=0.858 | stage=0.337 | 
4. page_167_img_2_0.jpeg | score=0.845 | stage=0.614 | page=1.00; keyword=dart-platform
5. page_167_img_3_0.jpeg | score=0.838 | stage=0.614 | page=1.00; keyword=dart-platform
6. page_96_img_0_0.jpeg | score=0.798 | stage=0.328 | 
