Query_ID,Query,Target_Text,Target_Page,Target_Image_Name,Try1,,
Q15,매뉴얼에 표기된 '위험' 안전 기호는 어떤 수준의 위험을 의미합니까?,지시사항 위반 시 심각한 사고가 발생하여 사망하거나 중대한 상해를 입을 수 있음,8,None,,,
Q16,조작기(Manipulator)의 방진 및 방수를 의미하는 IP 등급은 어떻게 됩니까?,IP54,109,None,,,
Q17,A0509 모델의 조작기(Manipulator) 자체 무게는 몇 kg입니까?,21 kg,109,None,,,
Q18,비상 상황 발생 시 즉각적인 조치를 위해 티치 펜던트에 위치한 비상 정지 버튼의 위치는 어디입니까?,티치 펜던트 상단 우측,102,page_103_img_0.jpeg,ㅇ,,
Q19,협동로봇의 직접 교시(Direct Teaching)를 활성화하기 위해 조작기 툴 플랜지에서 눌러야 하는 버튼은 무엇입니까?,Cockpit 버튼,194,page_195_img_0.jpeg,x,그림 불일치 및 텍스트 오답,
Q20,부팅이 완료되기 전 티치 펜던트 전원 LED의 상태는 무엇입니까?,붉은색으로 점멸,102,None,,,
Q21,로봇의 관절축(Joint) 중 1번 축(Base)의 최대 회전 각도 범위는 얼마입니까?,±360도,110,None,,,
Q22,툴 플랜지(Tool Flange)의 I/O 전원 출력이 허용하는 최대 전류는 몇 A입니까?,1.5 A,128,None,,,
Q23,제어기의 디지털 입력(Digital Input) 단자에 NPN 타입 센서를 연결할 때 배선은 어떻게 해야 합니까?,24V/12V(VCC)에 PULL-UP 연결,136,page_138_img_0.jpeg,△,텍스트 오답,
Q24,로봇 설치 시 작업자 안전을 위해 조작기 주위에 확보해야 하는 최소 안전 반경(Clearance)의 기준은 무엇입니까?,위험성 평가에 따름,13,None,,,
Q25,로봇의 툴(Tool) 무게 중심(Center of Gravity)을 시스템에 올바르게 설정하지 않으면 발생할 수 있는 주요 문제는 무엇입니까?,Compliance 명령어 On 상태에서 위치 오차 유발,278,None,,,
Q26,조작기의 베이스와 제어기 케이블을 연결할 때 주의사항은 무엇입니까?,딸깍 소리가 날 때까지 연결하여 케이블이 빠지지 않도록 할 것,117,None,,,
Q27,안전 I/O(Safety I/O) 포트를 사용하여 펜스나 라이트 커튼을 연결할 때 사용하는 입력 핀 번호는 무엇입니까?,TBSFT의 PR단자 (보호 정지),144,page_145_img_0.jpeg,ㅇ,,
Q28,아날로그 입력(Analog Input) 포트가 인식할 수 있는 전압 신호의 범위는 어떻게 됩니까?,0 ~ 10V,131,None,,,
Q29,티치 펜던트 화면에서 로봇의 현재 각 관절 각도를 수치로 확인하는 메뉴 경로는 무엇입니까?,Status 모듈 내 I/O Overview,330,page_332_img_0.jpeg,x,,
Q30,안전 보호 영역 침범으로 인한 안전 정지(Safeguard Stop) 발생 후 로봇을 재시동하기 위한 절차는 무엇입니까?,원인을 제거한 후 Reset 버튼 클릭,16,None,,,
Q31,툴 플랜지의 LED 링이 파란색(또는 하늘색)으로 점멸할 때 로봇은 현재 어떤 상태에 있습니까?,HGC Standby (핸드가이딩 대기) 또는 수동 핸드가이딩 상태,15,None,,,
Q32,로봇을 천장(Ceiling)에 거꾸로 설치할 때 소프트웨어 설정 메뉴에서 입력해야 하는 마운팅 각도는 어떻게 설정합니까?,Y축 회전과 Z축 회전으로 각도 설정,187,page_188_img_0.jpeg,△,그림 불일치,
Q33,엔드 이펙터 장착을 위해 툴 플랜지에 뚫려 있는 로케이팅 핀(Locating Pin)용 홀의 직경은 얼마입니까?,Φ6,122,None,,,
Q34,제어기와 외부 장치를 EtherNet/IP로 통신할 때 할당되는 기본(Default) IP 주소는 무엇입니까?,192.168.137.50,152,None,,,
Q35,수동 교시 모드(Manual Mode)에서 작업자 보호를 위해 로봇의 최대 이동 속도는 몇 mm/s로 자동 제한됩니까?,250 mm/s 이하,14,None,,,
Q36,전원이 꺼진 상태나 비상시 조작기 각 관절의 브레이크(Brake)를 수동으로 해제하는 방법은 무엇입니까?,Backdrive 모듈 사용,177,page_178_img_0.jpeg,ㅇ,,
Q37,엔드 이펙터 페이로드 설정 시 입력해야 하는 관성 모멘트(Moment of Inertia)의 단위는 무엇입니까?,kg㎡,108,None,,,
Q38,제어기의 I/O 전원용 퓨즈(Fuse)가 단선되었을 때 교체해야 하는 퓨즈의 정격 용량은 몇 A입니까?,1.5A 또는 2A (사용 포트에 따라 다름),136,None,,,
Q39,티치 펜던트의 전원을 강제로 종료하는 물리적 버튼 조작법은 무엇입니까?,전원 버튼을 4초 이상 길게 누름,93,page_24_img_0.jpeg,ㅇ,,
Q40,조작기 베이스와 제어기를 연결하는 기본 제공 로봇 케이블의 길이는 모델별로 몇 m입니까?,CS-11P: 6m / CS-12P: 3m,392,None,,,
Q41,로봇이 특이점(Singularity) 영역에 도달했을 때 제어를 보호하기 위해 발생하는 현상은 무엇입니까?,조인트 속력/각도 제한 위반으로 에러 발생 후 정지,173,page_173_img_1.jpeg,ㅇ,,
Q42,사용자가 사전에 정의한 가상의 공간 제한 영역을 로봇이 벗어나려 할 때 트리거되는 안전 기능은 무엇입니까?,공간 제한 (Space Limit),38,None,,,
Q43,시스템의 과거 에러 로그를 추출하는 메뉴 경로는 어디입니까?,Logs 모듈,338,page_340_img_0.jpeg,x,,
Q44,협동로봇의 외부 힘 감지 기능을 활용할 때 툴 끝단에서 측정할 수 있는 힘 제어 분해능은 몇 N입니까?,0.2 N,279,None,,,
Q45,A-Series 매뉴얼의 표지에 기재된 문서(Document) 버전은 무엇입니까?,V3.4.0,1,None,,,
Q46,A0509S 또는 A0912S와 같이 'S'가 붙은 모델에 기본 장착되는 특수 센서는 무엇입니까?,FTS (Force Torque Sensor),394,None,,,
Q47,로봇 시스템의 안전 정지 중 모터 전원을 즉시 차단하여 로봇을 멈추는 방식은 무엇입니까?,STO (Safe Torque Off),21,None,,,
Q48,제어기 내부 환기를 위해 벽면으로부터 확보해야 하는 양쪽 면의 최소 이격 거리는 몇 mm입니까?,50 mm,86,None,,,
Q49,장기 보관 시 로봇 조작기가 견딜 수 있는 허용 보관 온도 범위는 어떻게 됩니까?,-5 ~ 50℃,109,None,,,
Q50,제어기를 바닥에 설치할 때 주의해야 할 점은 무엇입니까?,눕혀 놓고 사용하지 말 것 (세워서 작업),86,None,,,
Q51,플랜지 LED가 노란색으로 켜져 있을 때 로봇은 현재 어떤 제어 상태에 있음을 의미합니까?,Interrupted (보호 정지) 상태,16,None,,,
Q52,티치 펜던트 케이블을 배선할 때 케이블이 손상되지 않도록 유지해야 하는 최소 곡률반경은 얼마입니까?,120mm,115,page_116_img_0.jpeg,△,그림 불일치,
Q53,조작기의 2번 축(Shoulder)이 위아래로 움직일 수 있는 최대 동작 각도 범위는 얼마입니까?,±360도 (바닥 설치 시 충돌 방지를 위해 ±95도 권장),39,None,,,
Q54,Configurable 디지털 출력(Digital Output) 포트 1개 채널당 허용되는 최대 출력 전류는 몇 A입니까?,1A,138,None,,,
Q55,플랜지의 RS-485 통신 포트를 사용할 때 X1 커넥터의 핀 번호는 무엇입니까?,4번(RS-485+) 및 6번(RS-485-),127,page_128_img_0.jpeg,△,텍스트 오답,
Q56,작업자의 손가락 끼임 사고를 방지하기 위해 설정할 수 있는 안전 구역의 명칭은 무엇입니까?,협착 방지 구역 (Crushing Prevention Zone),241,page_242_img_0.jpeg,△,그림 불일치,
Q57,Safety Password를 설정하지 않았을 때 비밀번호 입력 요청 시 기본으로 입력해야 하는 값은 무엇입니까?,admin,351,None,,,
Q58,목표 위치를 향해 끝 단이 선형으로 이동하는 수동 이동(Jog) 방식은 무엇입니까?,태스크 모션 (Task Motion),372,page_373_img_0.jpeg,x,,
Q59,TCP(Tool Center Point) 설정 화면에서 Z축 방향의 오프셋(Offset)만 적용하려면 어떤 항목에 값을 입력해야 합니까?,Z 값에 거리 입력,200,page_201_img_1.jpeg,△,그림 불일치,
Q60,무거운 툴을 장착한 후 로봇이 올바른 툴 무게를 찾기 위해 사용할 수 있는 기능의 이름은 무엇입니까?,Tool Weight 자동 계산 (Auto Measure),204,None,,,
Q61,안전 영역(Zone) 설정 시 선택할 수 있는 3D 도형 모양 5가지는 무엇입니까?,"구, 원기둥, 직육면체, 기울어진 다면상자",236,page_241_img_0.jpeg,x,,-
Q62,모션 명령어의 도착점에 도달하기 전 비동기 기능이 활성화되어 부드럽게 이동하게 하는 모션 설정 값은 무엇입니까?,반경 (Radius),269,None,,,
Q63,다양한 프로그램 명령어를 조립하여 로봇 동작을 구성하는 두산로보틱스의 프로그래밍 모듈 명칭은 무엇입니까?,Task Editor (태스크 에디터),261,page_262_img_0.jpeg,x,,
Q64,로봇 시스템의 시간 기능을 확인하는 곳은 화면의 어디입니까?,Header의 현재 시간 정보,167,page_167_img_3.jpeg,x,,
Q65,프로그램 실행 중 조건에 따라 분기하기 위해 사용되는 논리 제어 명령어는 무엇입니까?,If / Else If,317,None,,,
Q66,안전 I/O를 통해 연결된 라이트 커튼이 차단되었을 때 로봇이 보호 정지하도록 설정하는 포트는 무엇입니까?,TBSFT의 PR단자,22,None,,,
Q67,A0912 모델의 관절 3번 축의 정격 가반하중 운전시 최대 회전 속도는 초당 몇 도입니까?,180 °/s,111,None,,,
Q68,툴 플랜지의 아날로그 입력(Analog Input) 기능은 어떤 신호 모드로 설정할 수 있습니까?,전압 모드(0~10V) 또는 전류 모드(4~20mA),131,None,,,
Q69,로봇의 이동 경로를 티칭할 때 직선으로 이동하도록 강제하는 모션 명령어는 무엇입니까?,MoveL,271,page_275_img_0.jpeg,x,,
Q70,조인트 각도를 기준으로 목표 위치까지 가장 빠른 경로로 이동하는 모션 명령어는 무엇입니까?,MoveJ,271,page_275_img_0.jpeg,x,,
Q71,로봇을 직접 손으로 잡고 원하는 자세로 움직이도록 하는 기능의 명칭은 무엇입니까?,핸드가이딩 (Handguiding),14,None,,,
Q72,보호 정지 상태가 되었을 때 로봇 작동을 다시 복구하기 위해 사용하는 화면의 버튼은 무엇입니까?,Reset 버튼,16,None,,,
Q73,로봇이 외부의 물리적 충격을 받았을 때의 반응을 조절하는 설정 항목의 이름은 무엇입니까?,충돌 민감도 (Collision Sensitivity),39,None,,,
Q74,작업 공간의 한계를 설정하여 로봇이 특정 영역을 넘어가지 못하게 하는 안전 설정은 무엇입니까?,공간 제한 (Space Limit),38,None,,,
Q75,공장 출하 상태로 시스템을 복원하는 '공장 초기화(Factory Reset)' 진행 시 삭제되는 데이터는 무엇입니까?,"데이터 베이스, 로그파일, 워크셀 아이템, 태스크 파일",369,page_370_img_0.jpeg,ㅇ,,
Q76,소프트웨어 업데이트 모듈을 설치할 때 사용하는 패키지 파일의 확장자는 무엇입니까?,.dm (다운로드 받은 모듈 패키지 설치 파일),166,page_167_img_2.jpeg,x,,
Q77,매뉴얼에서 로봇을 폐기할 때 전자폐기물로 분류하여 처리해야 한다고 안내하는 유럽의 규정은 무엇입니까?,Directive 2012/19 EU (WEEE),161,None,,,
Q78,툴 플랜지 장착부의 기계적 규격을 확인할 수 있는 국제 표준 번호는 무엇입니까?,ISO 9409-1-50-4-M6,122,None,,,
Q79,제어기의 전원을 차단한 후 컨트롤러 내부에 고전압이 남아 있을 수 있으므로 주의해야 하는 최대 전압은 얼마입니까?,최대 600V,161,None,,,
Q80,관절 내부의 모터 브레이크 마모를 최소화하기 위해 불가피한 경우가 아니면 STO 대신 권장되는 로봇 정지 기능은 무엇입니까?,SS1 (Safe Stop 1),21,None,,,
Q81,태스크 실행 중 일정 시간 동안 멈추기 위해 사용하는 명령어는 무엇입니까?,Wait 명령어,318,None,,,
Q82,정의된 서브루틴(Subroutine)을 메인 프로그램 안에서 실행하기 위해 호출하는 명령어는 무엇입니까?,Call Sub 명령어,318,None,,,
Q83,A0509와 A0912 모델의 제어기 외함 크기(Dimension)는 가로x세로x높이 몇 mm 입니까?,606 X 306.9 X 446 mm,392,None,,,
Q84,시스템 로그(System Log) 파일에 기록되는 카테고리 중 제어 시스템 및 제어 알고리즘과 관련된 로그 종류 2가지는 무엇입니까?,Control System 및 Control Algorithm,339,None,,,
Q85,로봇 큐브 모듈 케이블을 결합할 때 방수 등급 강화를 위해 케이블에 결합해야 하는 부품은 무엇입니까?,그로밋 (Grommet),404,page_405_img_0.jpeg,ㅇ,,
Q86,힘 제어(Force Control) 모드에서 로봇에 일정한 힘을 유지하며 누르도록 설정하는 명령어는 무엇입니까?,Force 명령어,320,None,,,
Q87,로봇이 안전을 위해 외부 입력 신호에 의해 속도를 일정 비율로 감속하여 작동하게 하는 신호는 무엇입니까?,Reduced Speed Activation (외부 감속 활성화 신호),31,None,,,
Q88,안전 I/O를 이중화된 단자로 배선하는 가장 큰 이유는 무엇입니까?,이중화된 입력신호간 불일치 감지 시 단선이나 하드웨어 고장으로 판단해 STO 정지 수행,30,None,,,
Q89,엔드 이펙터 툴의 중심 좌표계(Tool Coordinate)의 기준이 되는 z축의 방향은 플랜지 좌표계에서 어느 방향을 따라 회전합니까?,플랜지 좌표계의 z축,200,page_202_img_0.jpeg,△,그림 불일치,
Q90,외부 장비가 로봇의 원격 제어 모드를 활성화하기 위해 안전 입력으로 받아야 하는 특정 신호는 무엇입니까?,Remote Control Enable 신호,32,None,,,
Q91,작업자 보호를 위해 로봇의 TCP 최대 속도가 250mm/s 이하로 제한되는 로봇의 모드는 무엇입니까?,수동 모드 (Manual Mode),14,None,,,
Q92,전원 입력 시 극성이 잘못 결선되었을 때 컨트롤러 고장을 막기 위해 주의해야 할 항목은 무엇입니까?,입력 전압의 극성이 반대로 연결되지 않도록 주의,402,page_403_img_0.jpeg,x,,
Q93,외부 센서 기능 연동을 위해 두산로보틱스가 제공하는 언어의 약자는 무엇입니까?,DRL (Doosan Robot Language),148,None,,,
Q94,로봇 암의 동작 반경 내에 작업자가 진입할 경우 안전을 위해 지정할 수 있는 구역의 이름은 무엇입니까?,협동 작업 구역 (Collaborative Zone),29,None,,,
Q95,프로그램 상의 경유지(Waypoint)를 로봇을 직접 움직이지 않고 좌표값 숫자를 입력하여 설정하는 방법은 무엇입니까?,속성(Property) 창에서 직접 자세 정보 입력,267,None,,,
Q96,티치 펜던트에 위치한 USB 포트의 주된 용도는 무엇입니까?,로봇 로그 저장매체 백업 및 태스크 내보내기/가져오기,102,page_103_img_0.jpeg,△,그림 불일치,
Q97,제어기 측 플랜지 통신용 커넥터를 꺾인 형태로 연결해야 할 때 사용하는 액세서리의 명칭은 무엇입니까?,Right Angle (라이트 앵글) 커넥터,126,None,,,
Q98,로봇 조작기 베이스의 LED 인디케이터 색상을 통해 로봇 상태를 직관적으로 확인하는 부위의 명칭은 무엇입니까?,베이스 LED 및 플랜지 LED,15,None,,,
Q99,로봇이 일정 시간 동안 조작이 없을 때 모터 전원을 자동으로 차단하여 안전 오프 상태로 전환하는 기능은 무엇입니까?,로봇 유휴 서보 오프,356,None,,,
Q100,프로그램 디버깅 중 선택한 명령어만 한 줄씩 실행하여 오류를 찾는 실행 모드의 이름은 무엇입니까?,한 줄씩 실행 모드,321,None,,,
Q101,협동로봇을 모바일 장비 내에 설치하여 운영할 때 부하 및 모션에 따라 사용할 수 있는 직류(DC) 컨트롤러 모델명은 무엇입니까?,CS-12P,392,None,,,
Q102,전체 매뉴얼의 내용 중 사용자의 개조 및 잘못된 취급으로 인한 고장 시 보증이 무효화된다고 안내된 섹션은 어디입니까?,보증의 제한 및 예외,19,None,,,
Q103,"현재 위치, 경유점,  목표점으로 이루어지는 원호를 따라 로봇을 이동시키기 위해 사용되는 모션 명령어는 무엇입니까?",MoveC,317,None,,,
Q104,로봇이 프로그램 시작점으로 기본 복귀할 수 있도록 설정하는 위치의 명칭은 무엇입니까?,Home Position (홈 포지션),192,page_192_img_0.jpeg,x,,
Q105,로봇 작업에 연동하기 위해 네트워크를 통해 측정 데이터를 전달할 수 있는 외부 카메라는 무엇입니까?,비전 센서,148,None,,,
Q106,충돌 감지 후 안전을 위해 외력 반대 방향으로 순응한 후 대기하는 안전 정지 모드의 명칭은 무엇입니까?,"플로팅 리액션 (Reflex Stop, RS1)",22,None,,,
Q107,에러 발생 상태 등 로봇이 비정상 상태일 때 외부 기기로 신호를 전달하기 위한 Safety Output 신호는 무엇입니까?,Abnormal (L),34,None,,,
Q108,지정된 안전 I/O 포트의 신호에 따라 특정 안전 구역을 활성화 또는 비활성화시키는 기능은 무엇입니까?,동적 구역 활성화 (Dynamic Zone Enable),32,None,,,
Q109,사용자 계정 관리에서 관리자(Supervisor) 권한으로 접근할 때 입력해야 하는 초기 비밀번호는 무엇입니까?,admin,351,page_352_img_3.jpeg,ㅇ,,
Q110,매뉴얼에 기재된 두산로보틱스 로봇의 품질 보증(Warranty) 기본 기간은 로봇이 설치된 날부터 몇 년입니까?,1년,19,None,,,
Q111,로봇을 운반이나 포장하기 위해 안전 복구 모드에서 사용할 수 있는 전용 기능의 이름은 무엇입니까?,패키징 모드,183,page_184_img_0.jpeg,△,그림 불일치,
Q112,플랫폼에 설치된 시스템 펌웨어 버전을 수동으로 업데이트하는 메뉴 경로는 무엇입니까?,Settings 모듈 > Robot Update > Update,359,None,,,
Q113,Configurable 디지털 I/O 전원을 내부 전원과 분리하기 위해 TBPWR 단자블록에서 제거해야 하는 점퍼선 결선은 무엇입니까?,VCC-VIO 및 GND-GIO,143,page_144_img_1.jpeg,ㅇ,,
Q114,아날로그 I/O를 전압 모드(0~10V)로 사용할 때 입력 단자(AIx-GND)의 내부 저항값은 얼마입니까?,1M ohm,133,None,,,
Q115,인크리멘탈 엔코더 회로 연결 시 VCC 라인에 설치해야 하는 퓨즈(FUSE)의 정격 용량은 얼마입니까?,1.5A,137,None,,,
Q116,정지 분류 1(Stop Category 1) 거리 측정 시 로봇의 최대 뻗음(Extension)을 테스트하는 3가지 비율은 무엇입니까?,"33%, 66%, 100%",66,None,,,
Q117,공간 제한 구역을 '기울어진 직육면체(3포인트 & 높이)'로 설정할 때 3D 시뮬레이션 화면에서 지정해야 하는 3개의 점은 무엇입니까?,"기준점, x축 위의 점, xy평면 위의 점",237,page_237_img_0.jpeg,△,그림 불일치,
Q118,'다면 상자(Multi-plane Box)' 형태로 안전 구역을 설정할 때 추가할 수 있는 최대 면의 개수는 몇 개입니까?,6개,238,None,,,
Q119,무동력 동작(Backdrive) 중 과도한 외력으로 조인트가 일정 속도 이상 움직일 때 안전을 위해 자동으로 취해지는 조치는 무엇입니까?,브레이크 체결,178,None,,,
Q120,툴 형상(Tool Shape)을 시스템에 등록할 수 있는 최대 개수는 몇 개입니까?,50개,206,None,,,
Q121,넛지(Nudge) 기능 활성화 시 로봇이 입력으로 감지할 수 있는 힘(Force) 설정 허용 범위(A/M시리즈 기준)는 몇 N입니까?,10.00 ~ 50.00 N,36,None,,,
Q122,"힘 제어 및 컴플라이언스 제어 기능을 정상 수행하기 위한 X, Y, Z 환산 길이 제한 조건은 얼마입니까?",300mm 이하,200,None,,,
Q123,안전용 전압 입력 단자(TBSI)에서 허용되는 테스트 펄스의 주기와 최대 지속 시간은 어떻게 됩니까?,20ms당 최대 1ms,146,None,,,
Q124,툴 방향 전환 제한 구역(Tool Orientation Limit Zone) 위반 시 트리거되는 3가지 안전 정지 모드는 무엇입니까?,"STO, SS1, SS2",25,None,,,
Q125,"2022년 8월 이후 생산된 FTS(Force Torque Sensor)의 Fx, Fy, Fz 방향 정격 하중(Load Capacity)은 몇 N입니까?",150 N,395,None,,,
Q126,비전 센서 측정 데이터를 로봇으로 수신하기 위해 설정해야 하는 센서의 IP 주소 대역은 어떻게 됩니까?,192.168.137.xxx,148,None,,,
Q127,비전 센서 측정 데이터 포맷에서 데이터의 시작을 알리는 구분자(Prefix) 텍스트는 무엇입니까?,pos,148,None,,,
Q128,힘 제어 모드에서 외력 센서값 오차를 초기화하기 위해 Custom Code에 입력해야 하는 DRL 명령어는 무엇입니까?,set_external_force_reset(),309,page_310_img_1.jpeg,△,그림 불일치,
Q129,Modbus TCP Slave 통신 시 에러 코드 1번의 Major 코드를 확인하기 위한 Address 번호는 무엇입니까?,440,157,None,,,
Q130,PROFINET 통신 구조에서 로봇 상태(Robot State) 정보를 전송하도록 할당된 Slot 번호는 몇 번입니까?,Slot#1,153,page_155_img_1.jpeg,△,그림 불일치,
Q131,"A0509 모델을 포장 박스에 수납할 때, 박스의 규격 중 가로(Length) 길이는 몇 mm입니까?",755 mm,160,None,,,
Q132,플랜지 디지털 입력(Photo coupler) 포트가 논리 하이(Logical High)로 인식하는 최소 전압은 몇 V입니까?,4.4 V,130,None,,,
,,,,94,,,
,,,,38,,,
